twist_angle_deg,iteration,n_determinants,mode
0.0,0,1737,seed-broad
0.0,1,1840,EN+broad
0.0,2,1844,EN+broad
0.0,3,1844,EN+broad
0.0,final,1844,final
10.0,0,1700,seed-broad
10.0,1,1778,EN+broad
10.0,2,1781,EN+broad
10.0,3,1781,EN+broad
10.0,final,1781,final
20.0,0,1709,seed-broad
20.0,1,1773,EN+broad
20.0,2,1775,EN+broad
20.0,3,1775,EN+broad
20.0,final,1775,final
30.0,0,1767,seed-broad
30.0,1,1820,EN+broad
30.0,2,1821,EN+broad
30.0,3,1821,EN+broad
30.0,final,1821,final
40.0,0,1717,seed-broad
40.0,1,1778,EN+broad
40.0,2,1778,EN+broad
40.0,final,1778,final
50.0,0,1777,seed-broad
50.0,1,1826,EN+broad
50.0,2,1829,EN+broad
50.0,3,1829,EN+broad
50.0,final,1829,final
60.0,0,1776,seed-broad
60.0,1,1815,EN+broad
60.0,2,1816,EN+broad
60.0,3,1816,EN+broad
60.0,final,1816,final
70.0,0,1683,seed-broad
70.0,1,1716,EN+broad
70.0,2,1716,EN+broad
70.0,final,1716,final
80.0,0,1732,seed-broad
80.0,1,1756,EN+broad
80.0,2,1756,EN+broad
80.0,final,1756,final
90.0,0,1584,seed-broad
90.0,1,1626,EN+broad
90.0,2,1628,EN+broad
90.0,3,1628,EN+broad
90.0,final,1628,final
100.0,0,1741,seed-broad
100.0,1,1765,EN+broad
100.0,2,1765,EN+broad
100.0,final,1765,final
110.0,0,1683,seed-broad
110.0,1,1712,EN+broad
110.0,2,1712,EN+broad
110.0,final,1712,final
120.0,0,1776,seed-broad
120.0,1,1815,EN+broad
120.0,2,1815,EN+broad
120.0,final,1815,final
130.0,0,1777,seed-broad
130.0,1,1823,EN+broad
130.0,2,1825,EN+broad
130.0,3,1825,EN+broad
130.0,final,1825,final
140.0,0,1717,seed-broad
140.0,1,1780,EN+broad
140.0,2,1780,EN+broad
140.0,final,1780,final
150.0,0,1767,seed-broad
150.0,1,1820,EN+broad
150.0,2,1823,EN+broad
150.0,3,1823,EN+broad
150.0,final,1823,final
160.0,0,1709,seed-broad
160.0,1,1771,EN+broad
160.0,2,1773,EN+broad
160.0,3,1773,EN+broad
160.0,final,1773,final
170.0,0,1700,seed-broad
170.0,1,1771,EN+broad
170.0,2,1772,EN+broad
170.0,3,1772,EN+broad
170.0,final,1772,final
180.0,0,1737,seed-broad
180.0,1,1829,EN+broad
180.0,2,1831,EN+broad
180.0,3,1831,EN+broad
180.0,final,1831,final
