twist_angle_deg,dim_SQD_alpha,dim_SQD_beta,dim_ExtSQD_alpha,dim_ExtSQD_beta,dim_CIPSI_EN_SQD_alpha,dim_CIPSI_EN_SQD_beta,shots,n_seeds,n_missing,n_important_missing,max_missing_weight,ext_recovery_pct,cipsi_recovery_pct,efficiency_ratio,selectivity_ratio
0.0,366,366,3003,3003,1844,1844,100000,1,1159,0,0.0001207744714518798,100.0,99.99995011519475,1.6285241333835674,1259952.062431301
10.0,301,301,3003,3003,1781,1781,100000,1,1222,0,0.00013333200702688453,100.0,99.99993182662719,1.6861302373686777,1006450.0097670169
20.0,259,259,3002,3002,1775,1775,100000,1,1227,0,0.00011903696503265352,100.0,99.99992575992101,1.6912663500353964,931123.8650812051
30.0,229,229,3002,3002,1821,1821,100000,1,1181,0,0.00011742784006595328,100.0,99.99993097446679,1.6485436177119681,939571.6015051045
40.0,221,221,3002,3002,1778,1778,100000,1,1224,0,0.00011518456735247957,100.0,99.99992896457248,1.6884127488844016,969112.8568672613
50.0,246,246,3001,3001,1829,1829,100000,1,1172,0,0.00010715301061777612,100.0,99.99993083769583,1.6407861806666222,926497.2883500361
60.0,227,227,2996,2996,1816,1816,100000,1,1180,0,0.00010386185332186587,100.0,99.99992953111911,1.6497785731015022,922079.7446861089
70.0,242,242,3002,3002,1716,1716,100000,1,1286,0,0.00040902799893245765,100.0,99.99992231508739,1.749415890383988,964687.5326207214
80.0,289,289,3003,3003,1756,1756,100000,1,1247,0,0.0006297615703147032,100.0,99.99989721635089,1.7101349165188027,690903.6121568803
90.0,227,227,2998,2998,1628,1628,100000,1,1370,0,0.0010360322545873138,100.0,99.99977359326475,1.8415191721904653,371685.6900463508
100.0,275,275,3002,3002,1765,1765,100000,1,1237,0,0.0006297615778542082,100.0,99.99990137947603,1.700848180969898,710652.447553487
110.0,242,242,3002,3002,1712,1712,100000,1,1290,0,0.0004090279989325994,100.0,99.99992093489351,1.7535032864868594,953017.2157462534
120.0,227,227,2996,2996,1815,1815,100000,1,1181,0,0.0001038618533216903,100.0,99.99993063540673,1.6506875602406532,938069.7309670438
130.0,246,246,3001,3001,1825,1825,100000,1,1176,0,0.00010715301061771176,100.0,99.99992979674644,1.6443824072330744,917882.116521296
140.0,221,221,3002,3002,1780,1780,100000,1,1222,0,0.00011518456735241167,100.0,99.99993187168018,1.686515704936988,1007681.3726519016
150.0,229,229,3002,3002,1823,1823,100000,1,1179,0,0.00011742784006590441,100.0,99.99993204880036,1.6467350302276398,951764.962254654
160.0,259,259,3002,3002,1773,1773,100000,1,1229,0,0.00011903696503249312,100.0,99.999927940421,1.693174188816378,961946.9324072627
170.0,301,301,3003,3003,1772,1772,100000,1,1231,0,0.00013333200702664365,100.0,99.99993082179252,1.6946940872338765,1004210.4331534479
180.0,366,366,3003,3003,1831,1831,100000,1,1172,0,0.00012077447145189051,100.0,99.99994945729098,1.6400865549986063,1266428.0824854842
