twist_angle_deg,method,orbital_index,occupation
0.0,ref,0,1.99649444
0.0,ref,1,1.99241301
0.0,ref,2,1.99133234
0.0,ref,3,1.98998319
0.0,ref,4,1.98985596
0.0,ref,5,1.94076140
0.0,ref,6,0.06081008
0.0,ref,7,0.00897181
0.0,ref,8,0.00598749
0.0,ref,9,0.00578112
0.0,ref,10,0.00514385
0.0,ref,11,0.00423217
0.0,ref,12,0.00419444
0.0,ref,13,0.00403868
0.0,ext,0,1.99649444
0.0,ext,1,1.99241301
0.0,ext,2,1.99133234
0.0,ext,3,1.98998319
0.0,ext,4,1.98985596
0.0,ext,5,1.94076140
0.0,ext,6,0.06081008
0.0,ext,7,0.00897181
0.0,ext,8,0.00598749
0.0,ext,9,0.00578112
0.0,ext,10,0.00514385
0.0,ext,11,0.00423217
0.0,ext,12,0.00419444
0.0,ext,13,0.00403869
0.0,cipsi,0,1.99649689
0.0,cipsi,1,1.99241711
0.0,cipsi,2,1.99133482
0.0,cipsi,3,1.98998527
0.0,cipsi,4,1.98985747
0.0,cipsi,5,1.94076224
0.0,cipsi,6,0.06080638
0.0,cipsi,7,0.00896981
0.0,cipsi,8,0.00598645
0.0,cipsi,9,0.00577931
0.0,cipsi,10,0.00514204
0.0,cipsi,11,0.00423082
0.0,cipsi,12,0.00419337
0.0,cipsi,13,0.00403801
10.0,ref,0,1.99648210
10.0,ref,1,1.99241163
10.0,ref,2,1.99133042
10.0,ref,3,1.98999110
10.0,ref,4,1.98986036
10.0,ref,5,1.93978667
10.0,ref,6,0.06182109
10.0,ref,7,0.00895225
10.0,ref,8,0.00598569
10.0,ref,9,0.00577006
10.0,ref,10,0.00514693
10.0,ref,11,0.00422749
10.0,ref,12,0.00420514
10.0,ref,13,0.00402907
10.0,ext,0,1.99648210
10.0,ext,1,1.99241163
10.0,ext,2,1.99133041
10.0,ext,3,1.98999110
10.0,ext,4,1.98986036
10.0,ext,5,1.93978667
10.0,ext,6,0.06182109
10.0,ext,7,0.00895225
10.0,ext,8,0.00598569
10.0,ext,9,0.00577006
10.0,ext,10,0.00514693
10.0,ext,11,0.00422749
10.0,ext,12,0.00420514
10.0,ext,13,0.00402907
10.0,cipsi,0,1.99648492
10.0,cipsi,1,1.99241616
10.0,cipsi,2,1.99133401
10.0,cipsi,3,1.98999513
10.0,cipsi,4,1.98986305
10.0,cipsi,5,1.93978811
10.0,cipsi,6,0.06181836
10.0,cipsi,7,0.00894939
10.0,cipsi,8,0.00598289
10.0,cipsi,9,0.00576796
10.0,cipsi,10,0.00514452
10.0,cipsi,11,0.00422537
10.0,cipsi,12,0.00420304
10.0,cipsi,13,0.00402708
20.0,ref,0,1.99644496
20.0,ref,1,1.99240843
20.0,ref,2,1.99132385
20.0,ref,3,1.99001149
20.0,ref,4,1.98987190
20.0,ref,5,1.93666942
20.0,ref,6,0.06504552
20.0,ref,7,0.00889536
20.0,ref,8,0.00598161
20.0,ref,9,0.00573983
20.0,ref,10,0.00515723
20.0,ref,11,0.00423682
20.0,ref,12,0.00421349
20.0,ref,13,0.00400008
20.0,ext,0,1.99644496
20.0,ext,1,1.99240843
20.0,ext,2,1.99132385
20.0,ext,3,1.99001149
20.0,ext,4,1.98987190
20.0,ext,5,1.93666942
20.0,ext,6,0.06504552
