twist_angle_deg,state,E_FCI_Ha,E_ExtSQD_Ha,E_CIPSI_EN_SQD_Ha,err_ExtSQD_mHa,err_CIPSI_EN_SQD_mHa,S2_FCI,S2_ExtSQD,S2_CIPSI_EN_SQD
0.0,S0,-78.0945571919,-78.0945571919,-78.0945538819,0.0000,0.0033,0.000000,0.000000,0.000003
0.0,T1,-77.9187423596,-77.9187423596,-77.9187383340,-0.0000,0.0040,2.000000,2.000000,2.000002
0.0,T2,-77.7689673633,-77.7689673633,-77.7689120258,-0.0000,0.0553,2.000000,2.000000,2.000023
0.0,S1,-77.7618336895,-77.7618336895,-77.7617794740,-0.0000,0.0542,0.000000,0.000000,0.000061
0.0,S2,-77.7547802733,-77.7547802733,-77.7547695548,-0.0000,0.0107,0.000000,0.000000,0.000008
10.0,S0,-78.0924344572,-78.0924344572,-78.0924298901,0.0000,0.0046,0.000000,0.000000,0.000004
10.0,T1,-77.9205316241,-77.9205316241,-77.9205252331,0.0000,0.0064,2.000000,2.000000,2.000004
10.0,T2,-77.7697936614,-77.7697936614,-77.7696551702,0.0000,0.1385,2.000000,2.000000,2.000070
10.0,S1,-77.7678069198,-77.7678069198,-77.7677869830,0.0000,0.0199,0.000000,0.000000,0.000021
10.0,S2,-77.7623366885,-77.7623366885,-77.7622013430,0.0000,0.1353,0.000000,0.000000,0.000192
20.0,S0,-78.0860973260,-78.0860973260,-78.0860923745,0.0000,0.0050,0.000000,0.000000,0.000004
20.0,T1,-77.9255386254,-77.9255386253,-77.9255330573,0.0000,0.0056,2.000000,2.000000,2.000004
20.0,T2,-77.7711796263,-77.7711796260,-77.7709580303,0.0000,0.2216,2.000000,2.000000,2.000115
20.0,S1,-77.7856584027,-77.7856584026,-77.7856419753,0.0000,0.0164,0.000000,0.000000,0.000018
20.0,S2,-77.7630614486,-77.7630614483,-77.7628455828,0.0000,0.2159,0.000000,0.000000,0.000316
30.0,S0,-78.0756411962,-78.0756411960,-78.0756365696,0.0000,0.0046,0.000000,0.000000,0.000004
30.0,T1,-77.9328258973,-77.9328258972,-77.9328200689,0.0000,0.0058,2.000000,2.000000,2.000004
30.0,T2,-77.7712499004,-77.7712498997,-77.7711451934,0.0000,0.1047,2.000000,2.000000,2.000056
30.0,S1,-77.8032135199,-77.8032135190,-77.8032027398,0.0000,0.0108,0.000000,0.000000,0.000010
30.0,S2,-77.7625304472,-77.7625304466,-77.7624324749,0.0000,0.0980,0.000000,0.000000,0.000137
40.0,S0,-78.0612384263,-78.0612384262,-78.0612336333,0.0000,0.0048,0.000000,0.000000,0.000004
40.0,T1,-77.9412087171,-77.9412087169,-77.9412015045,0.0000,0.0072,2.000000,2.000000,2.000005
40.0,T2,-77.7688049660,-77.7688049658,-77.7686440088,0.0000,0.1610,2.000000,2.000000,2.000086
40.0,S1,-77.8192705481,-77.8192705476,-77.8192599040,0.0000,0.0106,0.000000,0.000000,0.000010
40.0,S2,-77.7596587211,-77.7596587209,-77.7595031773,0.0000,0.1555,0.000000,0.000000,0.000225
50.0,S0,-78.0431809119,-78.0431809119,-78.0431762239,0.0000,0.0047,0.000000,0.000000,0.000004
50.0,T1,-77.9495592012,-77.9495592012,-77.9495539015,0.0000,0.0053,2.000000,2.000000,2.000003
50.0,T2,-77.7633633650,-77.7633633649,-77.7632311842,0.0000,0.1322,2.000000,2.000000,2.000070
50.0,S1,-77.8331268297,-77.8331268297,-77.8331194017,0.0000,0.0074,0.000000,0.000000,0.000007
50.0,S2,-77.7539404169,-77.7539404168,-77.7538135607,0.0000,0.1269,0.000000,0.000000,0.000183
60.0,S0,-78.0220004126,-78.0220004109,-78.0219956608,0.0000,0.0048,0.000000,0.000000,0.000004
60.0,T1,-77.9569687747,-77.9569687731,-77.9569630674,0.0000,0.0057,2.000000,2.000000,2.000004
60.0,T2,-77.7548622173,-77.7548622153,-77.7547443223,0.0000,0.1179,2.000000,2.000000,2.000060
60.0,S1,-77.8443221526,-77.8443221510,-77.8443146113,0.0000,0.0075,0.000000,0.000000,0.000007
60.0,S2,-77.7790002528,-77.7790002510,-77.7789904165,0.0000,0.0098,0.000000,0.000000,0.000009
70.0,S0,-78.0002534667,-78.0002534667,-78.0002486162,0.0000,0.0049,0.000000,0.000000,0.000005
70.0,T1,-77.9625220075,-77.9625220075,-77.9625115617,0.0000,0.0104,2.000000,2.000000,2.000006
70.0,T2,-77.7415642352,-77.7415642343,-77.7414973220,0.0000,0.0669,2.000000,2.000000,2.000033
70.0,S1,-77.8486545310,-77.8486545310,-77.8486402810,0.0000,0.0142,0.000000,0.000000,0.000018
70.0,S2,-77.8104253818,-77.8104253818,-77.8104065421,0.0000,0.0188,0.000000,0.000000,0.000019
80.0,S0,-77.9781434098,-77.9781434098,-77.9781374338,0.0000,0.0060,0.000000,0.000000,0.000006
80.0,T1,-77.9663281100,-77.9663281100,-77.9663178533,-0.0000,0.0103,2.000000,2.000000,2.000006
80.0,T2,-77.7280224266,-77.7280224266,-77.7279602684,-0.0000,0.0622,2.000000,2.000000,2.000028
80.0,S1,-77.8540092430,-77.8540092430,-77.8539962410,-0.0000,0.0130,0.000000,0.000000,0.000016
80.0,S2,-77.8410878708,-77.8410878708,-77.8410713597,-0.0000,0.0165,0.000000,0.000000,0.000016
90.0,S0,-77.9644145456,-77.9644145454,-77.9644020004,0.0000,0.0125,0.000000,0.000000,0.000011
90.0,T1,-77.9676939836,-77.9676939834,-77.9676799524,0.0000,0.0140,2.000000,2.000000,2.000008
90.0,T2,-77.7127647270,-77.7127647266,-77.7126209781,0.0000,0.1437,2.000000,2.000000,2.000070
90.0,S1,-77.8579353533,-77.8579353532,-77.8579146306,0.0000,0.0207,0.000000,0.000000,0.000019
