twist_angle_deg,n_configs,cumulative_weight
0.0,1,95.3713263257
0.0,31,99.6128705947
0.0,61,99.8904906752
0.0,91,99.9572543814
0.0,121,99.9786528217
0.0,151,99.9861844284
0.0,181,99.9896475079
0.0,211,99.9918690427
0.0,241,99.9933496038
0.0,271,99.9944889641
0.0,301,99.9954109019
0.0,331,99.9961773082
0.0,361,99.9968225184
0.0,391,99.9973371543
0.0,421,99.9977736334
0.0,451,99.9981266000
0.0,481,99.9984125040
0.0,511,99.9986490053
0.0,541,99.9988428506
0.0,571,99.9990083652
0.0,601,99.9991464466
0.0,631,99.9992639595
0.0,661,99.9993642456
0.0,691,99.9994506958
0.0,721,99.9995219823
0.0,751,99.9995826580
0.0,781,99.9996344669
0.0,811,99.9996796526
0.0,841,99.9997196674
0.0,871,99.9997527595
0.0,901,99.9997815734
0.0,931,99.9998068633
0.0,961,99.9998302631
0.0,991,99.9998512576
0.0,1021,99.9998700341
0.0,1051,99.9998860721
0.0,1081,99.9998998220
0.0,1111,99.9999118050
0.0,1141,99.9999222536
0.0,1171,99.9999313877
0.0,1201,99.9999393425
0.0,1231,99.9999462960
0.0,1261,99.9999524274
0.0,1291,99.9999577712
0.0,1321,99.9999624346
0.0,1351,99.9999666053
0.0,1381,99.9999703585
0.0,1411,99.9999736152
0.0,1441,99.9999765301
0.0,1471,99.9999791572
0.0,1501,99.9999815118
0.0,1531,99.9999836076
0.0,1561,99.9999854773
0.0,1591,99.9999871676
0.0,1621,99.9999886942
0.0,1651,99.9999900330
0.0,1681,99.9999912299
0.0,1711,99.9999923041
0.0,1741,99.9999932734
0.0,1771,99.9999941108
0.0,1801,99.9999948482
0.0,1831,99.9999955141
0.0,1861,99.9999961190
0.0,1891,99.9999966451
0.0,1921,99.9999971203
0.0,1951,99.9999975308
0.0,1981,99.9999978776
0.0,2011,99.9999981794
0.0,2041,99.9999984301
0.0,2071,99.9999986494
0.0,2101,99.9999988448
0.0,2131,99.9999990086
0.0,2161,99.9999991481
0.0,2191,99.9999992684
0.0,2221,99.9999993732
0.0,2251,99.9999994626
0.0,2281,99.9999995414
0.0,2311,99.9999996115
0.0,2341,99.9999996723
0.0,2371,99.9999997253
0.0,2401,99.9999997702
0.0,2431,99.9999998080
0.0,2461,99.9999998407
0.0,2491,99.9999998685
0.0,2521,99.9999998924
0.0,2551,99.9999999123
0.0,2581,99.9999999295
0.0,2611,99.9999999443
0.0,2641,99.9999999564
0.0,2671,99.9999999665
0.0,2701,99.9999999745
0.0,2731,99.9999999810
0.0,2761,99.9999999863
0.0,2791,99.9999999905
0.0,2821,99.9999999937
0.0,2851,99.9999999962
0.0,2881,99.9999999981
0.0,2911,99.9999999993
0.0,2941,99.9999999998
0.0,2971,100.0000000000
0.0,3001,100.0000000000
0.0,3003,100.0000000000
10.0,1,95.3227762737
10.0,31,99.5735502061
10.0,61,99.8819547749
10.0,91,99.9500129965
10.0,121,99.9731435425
10.0,151,99.9828422387
10.0,181,99.9871198507
10.0,211,99.9899312072
10.0,241,99.9918171057
10.0,271,99.9932403781
10.0,301,99.9943572750
10.0,331,99.9952664902
10.0,361,99.9960333360
10.0,391,99.9966771880
10.0,421,99.9972066007
10.0,451,99.9976591349
10.0,481,99.9980381147
10.0,511,99.9983476876
10.0,541,99.9985994738
10.0,571,99.9987997101
10.0,601,99.9989650226
10.0,631,99.9991033201
10.0,661,99.9992217696
10.0,691,99.9993224336
10.0,721,99.9994076286
10.0,751,99.9994775112
10.0,781,99.9995373978
10.0,811,99.9995896131
10.0,841,99.9996351788
10.0,871,99.9996765706
10.0,901,99.9997112167
10.0,931,99.9997421902
10.0,961,99.9997691105
10.0,991,99.9997935468
10.0,1021,99.9998162006
10.0,1051,99.9998365720
10.0,1081,99.9998551442
10.0,1111,99.9998712217
10.0,1141,99.9998852981
10.0,1171,99.9998980402
10.0,1201,99.9999092293
10.0,1231,99.9999190645
10.0,1261,99.9999278038
10.0,1291,99.9999355750
10.0,1321,99.9999424844
10.0,1351,99.9999486142
10.0,1381,99.9999540523
10.0,1411,99.9999588470
10.0,1441,99.9999631271
10.0,1471,99.9999670255
10.0,1501,99.9999706223
10.0,1531,99.9999739155
10.0,1561,99.9999769487
10.0,1591,99.9999796540
