R_angstrom,iteration,n_determinants,mode
1.0,0,,seed-broad
1.0,1,,EN+broad
1.0,2,,EN+broad
1.0,3,,EN+broad
1.0,4,,EN+broad
1.0,5,,EN+broad
1.0,final,,final
1.05,0,,seed-broad
1.05,1,,EN+broad
1.05,2,,EN+broad
1.05,3,,EN+broad
1.05,4,,EN+broad
1.05,5,,EN+broad
1.05,6,,EN+broad
1.05,final,,final
1.1,0,,seed-broad
1.1,1,,EN+broad
1.1,2,,EN+broad
1.1,3,,EN+broad
1.1,4,,EN+broad
1.1,final,,final
1.15,0,,seed-broad
1.15,1,,EN+broad
1.15,2,,EN+broad
1.15,3,,EN+broad
1.15,4,,EN+broad
1.15,final,,final
1.2,0,,seed-broad
1.2,1,,EN+broad
1.2,2,,EN+broad
1.2,3,,EN+broad
1.2,4,,EN+broad
1.2,final,,final
1.25,0,,seed-broad
1.25,1,,EN+broad
1.25,2,,EN+broad
1.25,3,,EN+broad
1.25,4,,EN+broad
1.25,final,,final
1.3,0,,seed-broad
1.3,1,,EN+broad
1.3,2,,EN+broad
1.3,3,,EN+broad
1.3,4,,EN+broad
1.3,5,,EN+broad
1.3,6,,EN+broad
1.3,final,,final
1.35,0,,seed-broad
1.35,1,,EN+broad
1.35,2,,EN+broad
1.35,3,,EN+broad
1.35,4,,EN+broad
1.35,final,,final
1.4,0,,seed-broad
1.4,1,,EN+broad
1.4,2,,EN+broad
1.4,3,,EN+broad
1.4,4,,EN+broad
1.4,5,,EN+broad
1.4,final,,final
1.45,0,,seed-broad
1.45,1,,EN+broad
1.45,2,,EN+broad
1.45,3,,EN+broad
1.45,4,,EN+broad
1.45,final,,final
1.5,0,,seed-broad
1.5,1,,EN+broad
1.5,2,,EN+broad
1.5,3,,EN+broad
1.5,4,,EN+broad
1.5,final,,final
1.6,0,,seed-broad
1.6,1,,EN+broad
1.6,2,,EN+broad
1.6,3,,EN+broad
1.6,4,,EN+broad
1.6,final,,final
1.7,0,,seed-broad
1.7,1,,EN+broad
1.7,2,,EN+broad
1.7,3,,EN+broad
1.7,4,,EN+broad
1.7,final,,final
1.8,0,,seed-broad
1.8,1,,EN+broad
1.8,2,,EN+broad
1.8,3,,EN+broad
1.8,4,,EN+broad
1.8,final,,final
1.9,0,,seed-broad
1.9,1,,EN+broad
1.9,2,,EN+broad
1.9,3,,EN+broad
1.9,4,,EN+broad
1.9,5,,EN+broad
1.9,final,,final
2.0,0,,seed-broad
2.0,1,,EN+broad
2.0,2,,EN+broad
2.0,3,,EN+broad
2.0,4,,EN+broad
2.0,5,,EN+broad
2.0,final,,final
2.1,0,,seed-broad
2.1,1,,EN+broad
2.1,2,,EN+broad
2.1,3,,EN+broad
2.1,4,,EN+broad
2.1,5,,EN+broad
2.1,final,,final
2.2,0,,seed-broad
2.2,1,,EN+broad
2.2,2,,EN+broad
2.2,3,,EN+broad
2.2,4,,EN+broad
2.2,5,,EN+broad
2.2,final,,final
2.3,0,,seed-broad
2.3,1,,EN+broad
2.3,2,,EN+broad
2.3,3,,EN+broad
2.3,4,,EN+broad
2.3,final,,final
2.4,0,,seed-broad
2.4,1,,EN+broad
2.4,2,,EN+broad
2.4,3,,EN+broad
2.4,4,,EN+broad
2.4,5,,EN+broad
2.4,final,,final
2.5,0,,seed-broad
2.5,1,,EN+broad
2.5,2,,EN+broad
2.5,3,,EN+broad
2.5,4,,EN+broad
2.5,final,,final
2.6,0,,seed-broad
2.6,1,,EN+broad
2.6,2,,EN+broad
2.6,3,,EN+broad
2.6,4,,EN+broad
2.6,final,,final
2.7,0,,seed-broad
2.7,1,,EN+broad
2.7,2,,EN+broad
2.7,3,,EN+broad
2.7,4,,EN+broad
2.7,final,,final
2.8,0,,seed-broad
2.8,1,,EN+broad
2.8,2,,EN+broad
2.8,3,,EN+broad
2.8,4,,EN+broad
2.8,5,,EN+broad
2.8,final,,final
2.9,0,,seed-broad
2.9,1,,EN+broad
2.9,2,,EN+broad
2.9,3,,EN+broad
2.9,4,,EN+broad
2.9,5,,EN+broad
2.9,6,,EN+broad
2.9,final,,final
3.0,0,,seed-broad
3.0,1,,EN+broad
3.0,2,,EN+broad
3.0,3,,EN+broad
3.0,4,,EN+broad
3.0,5,,EN+broad
3.0,6,,EN+broad
3.0,7,,EN+broad
3.0,final,,final
