R_angstrom,dim_SQD_alpha,dim_SQD_beta,dim_ExtSQD_alpha,dim_ExtSQD_beta,dim_CIPSI_EN_SQD_alpha,dim_CIPSI_EN_SQD_beta,shots,n_seeds,n_missing,n_important_missing,max_missing_weight,ext_recovery_pct,cipsi_recovery_pct,efficiency_ratio,selectivity_ratio
1.0,469,436,4010,1817,1916,1498,100000,,2237,0,0.00036178935764707813,100.0,99.99858630450022,2.092872291654728,82586.3864624354
1.05,469,436,4010,1817,2132,1569,100000,,2047,0,0.0003615495236591792,100.0,99.99873190085528,1.8808391881915087,75713.2563719432
1.1,469,436,4010,1817,2108,1657,100000,,2043,0,0.0008106097863309832,100.0,99.99829477386481,1.90224460172295,56834.01978027256
1.15,469,436,4010,1817,1965,1610,100000,,2179,0,0.0008873757145247159,100.0,99.99757767342207,2.040663035472888,45777.43567354007
1.2,469,436,4010,1817,1938,1568,100000,,2198,0,0.0006979527192881744,100.0,99.99691599251865,2.069079634313724,36774.357902965756
1.25,469,436,4010,1817,1974,1588,100000,,2167,0,0.000678170890444246,100.0,99.99745549620422,2.031356618742548,43141.735225414785
1.3,469,436,4010,1817,1948,1596,100000,,2208,0,0.0009533545007615168,100.0,99.99631740641638,2.0584457535920415,30777.995427643866
1.35,469,436,4010,1817,2081,1625,100000,,2077,0,0.0006544143969871197,100.0,99.99631072182497,1.9268871023282947,27052.474167737873
1.4,469,436,4010,1817,1878,1597,100000,,2273,0,0.0007227495735507132,100.0,99.99509888574171,2.1351456151854324,24693.78910401101
1.45,469,436,4010,1817,1978,1612,100000,,2177,0,0.0006834295588991996,100.0,99.99535119244577,2.0272060580470552,23673.931335789886
1.5,469,436,4010,1817,1935,1605,100000,,2225,0,0.0009121069727668275,100.0,99.99369696684693,2.072220800191505,18241.984396636748
1.6,469,436,4010,1817,1918,1530,100000,,2232,0,0.000727089278033782,100.0,99.99500043653127,2.090614972630294,23275.112457169624
1.7,469,436,4010,1817,1984,1536,100000,,2178,0,0.0014046739122702424,100.0,99.99434932301934,2.0210551450872356,19426.348907613865
1.8,469,436,4010,1817,1874,1467,100000,,2271,0,0.0012206993630940665,100.0,99.99410181267966,2.139681687667265,20544.868707089558
1.9,469,436,4010,1817,1978,1492,100000,,2194,0,0.001195534783340681,100.0,99.99414098316787,2.0271815234706936,18930.41540736549
2.0,469,436,4010,1817,2120,1554,100000,,2049,0,0.0012275697567172238,100.0,99.9917715932406,1.8913537928721453,11745.042921606779
2.1,475,432,4119,1819,1950,1643,100000,,2288,0,0.0012751363059565254,100.0,99.99240775600013,2.1121473207536643,15453.194747686099
2.2,475,432,4119,1819,2137,1651,100000,,2129,0,0.0012740024974815171,100.0,99.99556546269974,1.9273829393582604,22464.852305250726
2.3,472,434,4131,1817,2013,1427,100000,,2240,0,0.0022276283830973266,100.0,99.99086125218162,2.051973411985903,12175.249208908199
2.4,474,442,4176,1817,2145,1448,100000,,2126,0,0.001360337564929874,100.0,99.99426248079328,1.9467414457799195,17273.760460998998
2.5,474,442,4176,1817,2134,1449,100000,,2135,0,0.0014045051563132149,100.0,99.99367655734368,1.9567647296319925,15820.580558480555
2.6,468,448,4048,1818,2199,1425,100000,,2034,0,0.0013440948046315087,100.0,99.99182902394955,1.840686329645056,11319.21460970562
2.7,468,448,4048,1818,2226,1450,100000,,2012,0,0.001771285570502354,100.0,99.99139017853109,1.8183519651513653,10497.14694317983
2.8,460,440,4179,1820,1968,1493,100000,,2328,0,0.0017507123706970845,100.0,99.99229994876961,2.1233121010462814,15361.400955774698
2.9,460,440,4179,1820,2105,1482,100000,,2199,0,0.0016779249641452872,100.0,99.9923215449544,1.9851207208378356,13603.978435552552
3.0,460,440,4179,1820,2187,1468,100000,,2116,0,0.003742811449178402,100.0,99.98933872166212,1.9106330430627616,9074.261588133522
