R_angstrom,method,orbital_index,occupation
1.0,ref,0,1.99363981
1.0,ref,1,1.96482504
1.0,ref,2,1.93991861
1.0,ref,3,1.93991861
1.0,ref,4,1.01043194
1.0,ref,5,0.05408884
1.0,ref,6,0.05408884
1.0,ref,7,0.00801408
1.0,ref,8,0.00722680
1.0,ref,9,0.00722680
1.0,ref,10,0.00548075
1.0,ref,11,0.00481780
1.0,ref,12,0.00481780
1.0,ref,13,0.00349649
1.0,ref,14,0.00100388
1.0,ref,15,0.00100388
1.0,ext,0,1.99367595
1.0,ext,1,1.96494546
1.0,ext,2,1.94014653
1.0,ext,3,1.94009598
1.0,ext,4,1.01045467
1.0,ext,5,0.05395602
1.0,ext,6,0.05388451
1.0,ext,7,0.00795898
1.0,ext,8,0.00718774
1.0,ext,9,0.00716921
1.0,ext,10,0.00542662
1.0,ext,11,0.00481834
1.0,ext,12,0.00481136
1.0,ext,13,0.00345381
1.0,ext,14,0.00100858
1.0,ext,15,0.00100623
1.0,cipsi,0,1.99366901
1.0,cipsi,1,1.96489317
1.0,cipsi,2,1.93998617
1.0,cipsi,3,1.93997680
1.0,cipsi,4,1.01043427
1.0,cipsi,5,0.05404731
1.0,cipsi,6,0.05403879
1.0,cipsi,7,0.00798740
1.0,cipsi,8,0.00720759
1.0,cipsi,9,0.00720450
1.0,cipsi,10,0.00545586
1.0,cipsi,11,0.00480677
1.0,cipsi,12,0.00480269
1.0,cipsi,13,0.00347987
1.0,cipsi,14,0.00100501
1.0,cipsi,15,0.00100480
1.05,ref,0,1.99020693
1.05,ref,1,1.95355784
1.05,ref,2,1.93379408
1.05,ref,3,1.93379408
1.05,ref,4,1.01517907
1.05,ref,5,0.06267426
1.05,ref,6,0.06267426
1.05,ref,7,0.01057648
1.05,ref,8,0.00773120
1.05,ref,9,0.00707904
1.05,ref,10,0.00707904
1.05,ref,11,0.00585006
1.05,ref,12,0.00405850
1.05,ref,13,0.00332681
1.05,ref,14,0.00120918
1.05,ref,15,0.00120918
1.05,ext,0,1.99026348
1.05,ext,1,1.95370874
1.05,ext,2,1.93403763
1.05,ext,3,1.93400432
1.05,ext,4,1.01518819
1.05,ext,5,0.06249809
1.05,ext,6,0.06248994
1.05,ext,7,0.01055308
1.05,ext,8,0.00766578
1.05,ext,9,0.00703587
1.05,ext,10,0.00700703
1.05,ext,11,0.00579343
1.05,ext,12,0.00405876
1.05,ext,13,0.00327754
1.05,ext,14,0.00121319
1.05,ext,15,0.00120493
1.05,cipsi,0,1.99024147
1.05,cipsi,1,1.95362290
1.05,cipsi,2,1.93385955
1.05,cipsi,3,1.93385344
1.05,cipsi,4,1.01518626
1.05,cipsi,5,0.06263186
1.05,cipsi,6,0.06262222
1.05,cipsi,7,0.01055618
1.05,cipsi,8,0.00770319
1.05,cipsi,9,0.00706142
1.05,cipsi,10,0.00706074
1.05,cipsi,11,0.00582574
1.05,cipsi,12,0.00404636
1.05,cipsi,13,0.00331018
1.05,cipsi,14,0.00121003
1.05,cipsi,15,0.00120846
1.1,ref,0,1.98928786
1.1,ref,1,1.94735625
1.1,ref,2,1.92604013
1.1,ref,3,1.92604011
1.1,ref,4,1.01887227
1.1,ref,5,0.07093650
1.1,ref,6,0.07093648
1.1,ref,7,0.01258356
1.1,ref,8,0.00767702
1.1,ref,9,0.00702572
1.1,ref,10,0.00702572
1.1,ref,11,0.00616133
1.1,ref,12,0.00396953
1.1,ref,13,0.00343670
1.1,ref,14,0.00132540
1.1,ref,15,0.00132540
1.1,ext,0,1.98935367
1.1,ext,1,1.94753244
1.1,ext,2,1.92634596
1.1,ext,3,1.92626275
1.1,ext,4,1.01887895
1.1,ext,5,0.07075959
1.1,ext,6,0.07067937
1.1,ext,7,0.01254697
1.1,ext,8,0.00760673
1.1,ext,9,0.00696883
1.1,ext,10,0.00694959
1.1,ext,11,0.00610244
1.1,ext,12,0.00396987
1.1,ext,13,0.00338608
1.1,ext,14,0.00132986
1.1,ext,15,0.00132691
