R_angstrom,state,E_FCI_Ha,E_ExtSQD_Ha,E_CIPSI_EN_SQD_Ha,err_ExtSQD_mHa,err_CIPSI_EN_SQD_mHa,S2_FCI,S2_ExtSQD,S2_CIPSI_EN_SQD
1.0,D0,-92.2735650773,-92.2733650857,-92.2734785949,0.2000,0.0865,0.750000,0.750126,0.750045
1.0,D1,-92.1583536399,-92.1581422089,-92.1582239911,0.2114,0.1296,0.750000,0.750131,0.750068
1.0,D2,-92.1583536399,-92.1581257580,-92.1582163169,0.2279,0.1373,0.750000,0.750143,0.750071
1.0,Q1,-91.9375358460,-91.9366807624,-91.9372970853,0.8551,0.2388,3.750000,3.750066,3.749998
1.05,D0,-92.3400376434,-92.3397927801,-92.3399504383,0.2449,0.0872,0.750000,0.750152,0.750048
1.05,D1,-92.2507239759,-92.2504589223,-92.2506168819,0.2651,0.1071,0.750000,0.750155,0.750060
1.05,D2,-92.2507239759,-92.2504678209,-92.2506093121,0.2562,0.1147,0.750000,0.750151,0.750062
1.05,Q1,-92.0414949809,-92.0407182446,-92.0412878055,0.7767,0.2072,3.750000,3.749980,3.750001
1.1,D0,-92.3737566019,-92.3734831332,-92.3736496951,0.2735,0.1069,0.750000,0.750172,0.750059
1.1,D1,-92.2978148328,-92.2975240371,-92.2976721234,0.2908,0.1427,0.750000,0.750173,0.750080
1.1,D2,-92.2978148328,-92.2975154836,-92.2976800376,0.2993,0.1348,0.750000,0.750177,0.750074
1.1,Q1,-92.1082090585,-92.1073285418,-92.1079377861,0.8805,0.2713,3.750000,3.749977,3.749984
1.15,D0,-92.3907982391,-92.3904932596,-92.3906523112,0.3050,0.1459,0.750000,0.750197,0.750084
1.15,D1,-92.3266768862,-92.3263570169,-92.3264943697,0.3199,0.1825,0.750000,0.750193,0.750102
1.15,D2,-92.3266768862,-92.3263726698,-92.3265192449,0.3042,0.1576,0.750000,0.750179,0.750088
1.15,Q1,-92.1553761623,-92.1544706189,-92.1550476732,0.9055,0.3285,3.750000,3.750045,3.750000
1.2,D0,-92.3956546866,-92.3951001087,-92.3954784073,0.5546,0.1763,0.750000,0.750395,0.750100
1.2,D1,-92.3420234996,-92.3414948276,-92.3418454223,0.5287,0.1781,0.750000,0.750337,0.750101
1.2,D2,-92.3420234996,-92.3414180045,-92.3417899630,0.6055,0.2335,0.750000,0.750393,0.750133
