R_angstrom,n_configs,cumulative_weight
1.0,1,92.2062673300
1.0,44,99.3966389750
1.0,87,99.7779409621
1.0,130,99.8844419647
1.0,173,99.9279209606
1.0,216,99.9515347697
1.0,259,99.9645062540
1.0,302,99.9732090871
1.0,345,99.9796641807
1.0,388,99.9841428733
1.0,431,99.9875134737
1.0,474,99.9899129291
1.0,517,99.9917402015
1.0,560,99.9931467177
1.0,603,99.9942886359
1.0,646,99.9951437364
1.0,689,99.9958288401
1.0,732,99.9964176721
1.0,775,99.9969128349
1.0,818,99.9973227134
1.0,861,99.9976825254
1.0,904,99.9979705076
1.0,947,99.9982124197
1.0,990,99.9984287670
1.0,1033,99.9986259563
1.0,1076,99.9988011211
1.0,1119,99.9989568774
1.0,1162,99.9990944006
1.0,1205,99.9992072553
1.0,1248,99.9993052637
1.0,1291,99.9993894001
1.0,1334,99.9994630936
1.0,1377,99.9995281680
1.0,1420,99.9995855128
1.0,1463,99.9996353583
1.0,1506,99.9996788348
1.0,1549,99.9997178343
1.0,1592,99.9997526176
1.0,1635,99.9997836652
1.0,1678,99.9998102243
1.0,1721,99.9998333469
1.0,1764,99.9998538699
1.0,1807,99.9998716169
1.0,1850,99.9998870030
1.0,1893,99.9999009342
1.0,1936,99.9999133661
1.0,1979,99.9999245677
1.0,2022,99.9999340893
1.0,2065,99.9999419840
1.0,2108,99.9999487744
1.0,2151,99.9999545501
1.0,2194,99.9999597803
1.0,2237,99.9999644555
1.0,2280,99.9999685753
1.0,2323,99.9999723094
1.0,2366,99.9999755489
1.0,2409,99.9999783541
1.0,2452,99.9999807619
1.0,2495,99.9999828824
1.0,2538,99.9999847794
1.0,2581,99.9999864904
1.0,2624,99.9999880022
1.0,2667,99.9999893664
1.0,2710,99.9999906324
1.0,2753,99.9999917620
1.0,2796,99.9999927611
1.0,2839,99.9999936724
1.0,2882,99.9999944731
1.0,2925,99.9999951849
1.0,2968,99.9999958024
1.0,3011,99.9999963595
1.0,3054,99.9999968627
1.0,3097,99.9999972983
1.0,3140,99.9999976750
1.0,3183,99.9999980051
1.0,3226,99.9999982957
1.0,3269,99.9999985520
1.0,3312,99.9999987728
1.0,3355,99.9999989674
1.0,3398,99.9999991393
1.0,3441,99.9999992901
1.0,3484,99.9999994269
1.0,3527,99.9999995503
1.0,3570,99.9999996531
1.0,3613,99.9999997371
1.0,3656,99.9999998052
1.0,3699,99.9999998585
1.0,3742,99.9999999012
1.0,3785,99.9999999330
1.0,3828,99.9999999575
1.0,3871,99.9999999756
1.0,3914,99.9999999876
1.0,3957,99.9999999953
1.0,4000,99.9999999996
1.0,4043,100.0000000000
1.0,4086,100.0000000000
1.0,4129,100.0000000000
1.0,4172,100.0000000000
1.0,4215,100.0000000000
1.0,4258,100.0000000000
1.0,4301,100.0000000000
1.0,4344,100.0000000000
1.0,4368,100.0000000000
1.05,1,91.0130973251
1.05,44,99.1345559593
1.05,87,99.6963237966
1.05,130,99.8369033210
1.05,173,99.8936359696
1.05,216,99.9256848404
1.05,259,99.9455260689
1.05,302,99.9576451892
1.05,345,99.9660151878
1.05,388,99.9726414273
1.05,431,99.9778012820
1.05,474,99.9817865762
1.05,517,99.9849226173
1.05,560,99.9875691148
1.05,603,99.9896117852
1.05,646,99.9912818810
1.05,689,99.9926885015
1.05,732,99.9938378921
1.05,775,99.9947764336
1.05,818,99.9955182847
1.05,861,99.9961287300
1.05,904,99.9966376596
1.05,947,99.9970693059
1.05,990,99.9974451866
1.05,1033,99.9977670052
1.05,1076,99.9980434233
1.05,1119,99.9982882599
1.05,1162,99.9984981346
1.05,1205,99.9986779000
1.05,1248,99.9988309396
1.05,1291,99.9989684559
1.05,1334,99.9990906507
1.05,1377,99.9991981110
1.05,1420,99.9992916352
1.05,1463,99.9993752146
1.05,1506,99.9994494175
1.05,1549,99.9995150234
1.05,1592,99.9995737226
1.05,1635,99.9996238517
1.05,1678,99.9996667538
1.05,1721,99.9997050826
1.05,1764,99.9997404739
1.05,1807,99.9997721664
1.05,1850,99.9997995126
1.05,1893,99.9998231136
1.05,1936,99.9998435799
1.05,1979,99.9998614487
1.05,2022,99.9998777744
1.05,2065,99.9998923729
1.05,2108,99.9999051247
1.05,2151,99.9999164954
1.05,2194,99.9999265768
1.05,2237,99.9999353910
1.05,2280,99.9999430378
1.05,2323,99.9999494886
1.05,2366,99.9999550875
1.05,2409,99.9999600820
1.05,2452,99.9999645763
1.05,2495,99.9999686047
1.05,2538,99.9999721872
1.05,2581,99.9999753616
1.05,2624,99.9999782263
1.05,2667,99.9999807123
1.05,2710,99.9999828895
1.05,2753,99.9999848406
1.05,2796,99.9999865791
1.05,2839,99.9999881194
1.05,2882,99.9999895099
1.05,2925,99.9999907963
1.05,2968,99.9999919553
1.05,3011,99.9999929763
1.05,3054,99.9999938891
1.05,3097,99.9999947222
1.05,3140,99.9999954809
1.05,3183,99.9999961437
1.05,3226,99.9999967277
1.05,3269,99.9999972558
1.05,3312,99.9999977122
1.05,3355,99.9999980922
1.05,3398,99.9999984164
1.05,3441,99.9999987065
1.05,3484,99.9999989616
1.05,3527,99.9999991751
1.05,3570,99.9999993502
1.05,3613,99.9999995000
1.05,3656,99.9999996284
1.05,3699,99.9999997354
1.05,3742,99.9999998202
1.05,3785,99.9999998856
1.05,3828,99.9999999309
1.05,3871,99.9999999614
1.05,3914,99.9999999816
1.05,3957,99.9999999937
1.05,4000,99.9999999994
1.05,4043,100.0000000000
1.05,4086,100.0000000000
1.05,4129,100.0000000000
1.05,4172,100.0000000000
1.05,4215,100.0000000000
1.05,4258,100.0000000000
1.05,4301,100.0000000000
1.05,4344,100.0000000000
1.05,4368,100.0000000000
1.1,1,90.0171048335
1.1,44,99.0548304445
1.1,87,99.6126420416
1.1,130,99.7680461910
1.1,173,99.8469007060
1.1,216,99.8937972484
1.1,259,99.9253992494
1.1,302,99.9452691639
1.1,345,99.9581267193
1.1,388,99.9670826154
1.1,431,99.9739039323
1.1,474,99.9787807142
1.1,517,99.9827016502
1.1,560,99.9857420623
1.1,603,99.9880668156
1.1,646,99.9900177571
1.1,689,99.9916505123
1.1,732,99.9929366997
1.1,775,99.9940022039
1.1,818,99.9948639289
1.1,861,99.9955871755
1.1,904,99.9961642694
1.1,947,99.9966599180
1.1,990,99.9970905494
1.1,1033,99.9974572652
1.1,1076,99.9977704739
1.1,1119,99.9980428683
1.1,1162,99.9982762438
1.1,1205,99.9984795823
1.1,1248,99.9986558130
1.1,1291,99.9988091145
1.1,1334,99.9989453298
1.1,1377,99.9990687650
1.1,1420,99.9991778578
1.1,1463,99.9992753548
1.1,1506,99.9993604563
1.1,1549,99.9994361905
1.1,1592,99.9995038422
1.1,1635,99.9995647232
1.1,1678,99.9996176865
1.1,1721,99.9996647539
1.1,1764,99.9997064153
1.1,1807,99.9997427697
1.1,1850,99.9997744778
1.1,1893,99.9998025270
1.1,1936,99.9998266161
1.1,1979,99.9998476742
1.1,2022,99.9998666135
1.1,2065,99.9998832840
1.1,2108,99.9998979777
1.1,2151,99.9999109176
1.1,2194,99.9999220485
1.1,2237,99.9999315887
1.1,2280,99.9999395114
1.1,2323,99.9999464878
1.1,2366,99.9999527649
1.1,2409,99.9999583929
1.1,2452,99.9999632652
1.1,2495,99.9999675505
1.1,2538,99.9999712696
1.1,2581,99.9999744475
1.1,2624,99.9999772482
1.1,2667,99.9999797071
1.1,2710,99.9999819356
1.1,2753,99.9999839534
1.1,2796,99.9999857665
1.1,2839,99.9999874047
1.1,2882,99.9999888646
1.1,2925,99.9999901811
1.1,2968,99.9999913709
1.1,3011,99.9999924383
1.1,3054,99.9999934044
1.1,3097,99.9999942961
1.1,3140,99.9999950941
1.1,3183,99.9999958034
1.1,3226,99.9999964427
1.1,3269,99.9999970148
1.1,3312,99.9999975053
1.1,3355,99.9999979323
1.1,3398,99.9999983102
1.1,3441,99.9999986398
1.1,3484,99.9999989163
1.1,3527,99.9999991524
1.1,3570,99.9999993504
1.1,3613,99.9999995130
1.1,3656,99.9999996483
1.1,3699,99.9999997550
1.1,3742,99.9999998376
1.1,3785,99.9999998980
1.1,3828,99.9999999407
1.1,3871,99.9999999671
1.1,3914,99.9999999842
1.1,3957,99.9999999948
1.1,4000,99.9999999996
1.1,4043,100.0000000000
1.1,4086,100.0000000000
1.1,4129,100.0000000000
1.1,4172,100.0000000000
1.1,4215,100.0000000000
1.1,4258,100.0000000000
1.1,4301,100.0000000000
1.1,4344,100.0000000000
1.1,4368,100.0000000000
1.15,1,88.9551711764
1.15,44,99.0230967704
1.15,87,99.6442853958
1.15,130,99.8009857069
1.15,173,99.8679326998
1.15,216,99.9047166411
1.15,259,99.9302525614
1.15,302,99.9473536191
1.15,345,99.9579521680
1.15,388,99.9659003430
1.15,431,99.9722038247
1.15,474,99.9773901795
1.15,517,99.9815743559
1.15,560,99.9849579288
1.15,603,99.9875510458
1.15,646,99.9897058219
1.15,689,99.9913880677
1.15,732,99.9926996093
1.15,775,99.9937664726
1.15,818,99.9946356429
1.15,861,99.9953446719
1.15,904,99.9959503284
1.15,947,99.9964806979
1.15,990,99.9969498345
1.15,1033,99.9973522971
1.15,1076,99.9976762279
1.15,1119,99.9979559813
1.15,1162,99.9981986379
1.15,1205,99.9984114593
1.15,1248,99.9985985514
1.15,1291,99.9987610270
1.15,1334,99.9989026472
1.15,1377,99.9990299500
1.15,1420,99.9991424577
1.15,1463,99.9992411827
1.15,1506,99.9993254080
1.15,1549,99.9994007355
1.15,1592,99.9994687117
1.15,1635,99.9995299747
1.15,1678,99.9995845345
1.15,1721,99.9996334250
1.15,1764,99.9996775139
1.15,1807,99.9997163021
1.15,1850,99.9997497331
1.15,1893,99.9997784086
1.15,1936,99.9998038151
1.15,1979,99.9998265385
1.15,2022,99.9998466820
1.15,2065,99.9998646897
1.15,2108,99.9998810712
1.15,2151,99.9998953861
1.15,2194,99.9999077102
1.15,2237,99.9999184933
1.15,2280,99.9999279951
1.15,2323,99.9999363420
1.15,2366,99.9999436425
1.15,2409,99.9999499836
1.15,2452,99.9999555623
1.15,2495,99.9999604339
1.15,2538,99.9999647515
1.15,2581,99.9999686004
1.15,2624,99.9999720626
1.15,2667,99.9999751707
1.15,2710,99.9999779534
1.15,2753,99.9999804433
1.15,2796,99.9999826720
1.15,2839,99.9999846602
1.15,2882,99.9999864725
1.15,2925,99.9999881212
1.15,2968,99.9999896157
1.15,3011,99.9999909633
1.15,3054,99.9999921471
1.15,3097,99.9999932072
1.15,3140,99.9999941462
1.15,3183,99.9999949990
1.15,3226,99.9999957782
1.15,3269,99.9999964834
1.15,3312,99.9999971157
1.15,3355,99.9999976605
1.15,3398,99.9999981034
1.15,3441,99.9999984708
1.15,3484,99.9999987788
1.15,3527,99.9999990296
1.15,3570,99.9999992440
1.15,3613,99.9999994262
1.15,3656,99.9999995783
1.15,3699,99.9999996928
1.15,3742,99.9999997861
1.15,3785,99.9999998562
1.15,3828,99.9999999088
1.15,3871,99.9999999483
