R_angstrom,method,root_index,E_root_Ha,overlap_sq_D0,overlap_sq_D1,overlap_sq_D2,overlap_sq_Q1
1.0,ExtSQD,0,-92.2733650857,9.999388e-01,6.514601e-28,3.658101e-29,7.129233e-09
1.0,ExtSQD,1,-92.1581422089,9.603464e-28,9.979508e-01,1.981651e-03,1.483562e-25
1.0,ExtSQD,2,-92.1581257580,2.856750e-26,1.981641e-03,9.979453e-01,4.386644e-24
1.0,ExtSQD,3,-92.1445314798,7.404776e-10,2.618846e-26,1.727783e-25,3.110447e-08
1.0,ExtSQD,4,-91.9366807624,4.647917e-09,5.959334e-27,1.557444e-27,9.995692e-01
1.0,ExtSQD,5,-91.9064152789,4.604031e-25,2.386331e-10,1.115517e-11,9.134925e-23
1.0,ExtSQD,6,-91.9061869774,8.312661e-27,1.196134e-12,2.838923e-09,1.783955e-24
1.0,ExtSQD,7,-91.9027517301,5.552804e-25,6.638357e-11,1.778777e-09,1.108483e-22
1.0,ExtSQD,8,-91.9025700321,3.222304e-26,9.202493e-12,3.073034e-08,6.464850e-24
1.0,ExtSQD,9,-91.8922022043,2.016677e-11,1.671379e-27,2.897091e-30,4.795519e-06
1.0,ExtSQD,10,-91.8921895165,2.478939e-10,2.213683e-29,1.703901e-27,4.964406e-05
1.0,ExtSQD,11,-91.8629398674,2.261496e-12,5.783339e-27,1.603207e-30,1.011347e-09
1.0,ExtSQD,12,-91.8326955086,4.679847e-08,4.374918e-29,1.559461e-30,9.371979e-10
1.0,ExtSQD,13,-91.8294205796,2.517843e-13,9.754155e-31,6.080158e-30,4.540655e-09
1.0,ExtSQD,14,-91.8249403713,1.119819e-10,9.323961e-24,2.900799e-25,2.097028e-07
1.0,CIPSI_EN_SQD,0,-92.2734785949,9.999800e-01,1.237903e-36,6.181736e-34,4.241204e-12
1.0,CIPSI_EN_SQD,1,-92.1582239911,4.669381e-35,9.074621e-01,9.250572e-02,1.364769e-27
1.0,CIPSI_EN_SQD,2,-92.1582163169,3.202821e-34,9.250546e-02,9.074610e-01,1.899493e-30
1.0,CIPSI_EN_SQD,3,-92.1446451123,7.309477e-09,2.747002e-26,8.132561e-27,8.069144e-10
1.0,CIPSI_EN_SQD,4,-91.9372970853,4.303569e-13,1.260396e-27,9.618531e-29,9.999333e-01
1.0,CIPSI_EN_SQD,5,-91.9068630128,1.165043e-35,1.318018e-12,4.736699e-13,3.212902e-26
1.0,CIPSI_EN_SQD,6,-91.9067970630,3.337852e-37,3.037677e-14,2.121347e-11,3.863097e-26
1.0,CIPSI_EN_SQD,7,-91.9035141273,6.613709e-35,1.517187e-13,4.020530e-12,3.082284e-27
1.0,CIPSI_EN_SQD,8,-91.9034189787,1.137763e-35,1.072831e-11,1.027627e-11,8.438043e-26
1.0,CIPSI_EN_SQD,9,-91.8925297597,3.549233e-12,3.204549e-28,2.015684e-27,1.712937e-08
1.0,CIPSI_EN_SQD,10,-91.8924836689,4.037711e-11,8.671252e-28,1.013733e-27,1.779399e-07
1.0,CIPSI_EN_SQD,11,-91.8632099610,2.853771e-13,2.611951e-29,3.983052e-30,4.082729e-08
1.0,CIPSI_EN_SQD,12,-91.8332801881,7.677942e-10,9.322583e-29,8.626355e-30,2.497741e-08
1.0,CIPSI_EN_SQD,13,-91.8295686521,5.324732e-11,8.034589e-29,1.240702e-28,6.096458e-09
1.0,CIPSI_EN_SQD,14,-91.8252127153,4.319883e-14,2.896253e-30,2.639339e-29,1.344211e-08
1.05,ExtSQD,0,-92.3397927801,9.999282e-01,4.849573e-24,6.161853e-23,2.053219e-08
1.05,ExtSQD,1,-92.2504678209,1.062319e-23,8.785605e-02,9.120675e-01,3.309470e-23
1.05,ExtSQD,2,-92.2504589223,1.338745e-24,9.120643e-01,8.785583e-02,4.139622e-23
1.05,ExtSQD,3,-92.2193763911,1.053126e-09,2.214544e-24,7.752661e-25,8.655676e-08
1.05,ExtSQD,4,-92.0407182446,1.541089e-08,9.857702e-26,6.635510e-24,9.996649e-01
1.05,ExtSQD,5,-91.9928620070,1.037267e-08,4.107400e-25,3.864697e-25,4.055934e-06
1.05,ExtSQD,6,-91.9908660107,1.027798e-08,1.110873e-24,1.081333e-24,1.273903e-06
1.05,ExtSQD,7,-91.9880519283,1.559564e-23,4.706674e-13,4.057834e-12,1.165587e-22
1.05,ExtSQD,8,-91.9873227230,3.223572e-24,1.751535e-08,9.888495e-11,8.105562e-23
1.05,ExtSQD,9,-91.9859086021,7.855399e-23,5.839649e-13,1.482315e-10,1.688834e-22
1.05,ExtSQD,10,-91.9855043444,1.899466e-23,1.031713e-09,1.299463e-12,2.844237e-22
1.05,ExtSQD,11,-91.9652998118,1.101553e-10,9.946672e-26,2.007036e-25,7.046698e-08
1.05,ExtSQD,12,-91.9386983175,3.861545e-08,1.074373e-24,3.679172e-23,9.149492e-07
1.05,ExtSQD,13,-91.9279802010,1.237399e-10,1.143048e-25,6.315877e-25,5.753255e-08
1.05,ExtSQD,14,-91.9244964218,6.537759e-09,7.665212e-25,3.809650e-24,1.389726e-08
1.05,CIPSI_EN_SQD,0,-92.3399504383,9.999800e-01,3.565027e-25,7.703093e-24,3.696989e-11
1.05,CIPSI_EN_SQD,1,-92.2506168819,2.307427e-25,9.853777e-01,1.459703e-02,4.069155e-24
1.05,CIPSI_EN_SQD,2,-92.2506093121,2.822976e-24,1.459702e-02,9.853761e-01,4.686222e-24
1.05,CIPSI_EN_SQD,3,-92.2195535361,2.201582e-09,6.365926e-25,4.908078e-27,2.350935e-09
1.05,CIPSI_EN_SQD,4,-92.0412878055,3.943648e-11,5.289965e-27,9.559433e-27,9.999451e-01
1.05,CIPSI_EN_SQD,5,-91.9931757173,6.894535e-10,2.769137e-26,2.376017e-25,4.454036e-08
1.05,CIPSI_EN_SQD,6,-91.9911627933,3.325916e-11,6.461918e-26,1.897600e-27,3.110342e-08
1.05,CIPSI_EN_SQD,7,-91.9882614147,7.090467e-25,5.223531e-11,2.412310e-13,4.447331e-24
1.05,CIPSI_EN_SQD,8,-91.9882418947,2.483897e-25,1.272788e-10,1.134624e-13,3.651909e-24
1.05,CIPSI_EN_SQD,9,-91.9862683571,6.853187e-25,1.277206e-11,1.038521e-11,6.268439e-24
1.05,CIPSI_EN_SQD,10,-91.9862479007,4.825203e-25,9.659665e-13,3.195890e-11,4.092761e-24
1.05,CIPSI_EN_SQD,11,-91.9655740677,7.552558e-10,3.477305e-27,2.701536e-25,1.304794e-08
1.05,CIPSI_EN_SQD,12,-91.9391949448,8.248703e-10,4.263789e-26,2.441207e-24,1.913577e-07
1.05,CIPSI_EN_SQD,13,-91.9281613632,1.901276e-09,6.786590e-26,5.558058e-25,7.147699e-10
1.05,CIPSI_EN_SQD,14,-91.9248478867,2.988092e-11,2.507792e-26,5.629508e-27,2.579638e-10
1.1,ExtSQD,0,-92.3734831332,9.999194e-01,2.425543e-21,7.919629e-21,1.005263e-08
1.1,ExtSQD,1,-92.2975240371,9.124981e-24,8.602269e-01,1.396858e-01,6.016993e-22
1.1,ExtSQD,2,-92.2975154836,9.883593e-23,1.396853e-01,8.602244e-01,9.553337e-20
1.1,ExtSQD,3,-92.2490772349,2.779694e-09,1.616158e-21,9.953799e-21,7.845448e-08
1.1,ExtSQD,4,-92.1073285418,7.480453e-09,1.251021e-19,1.433384e-19,9.996215e-01
1.1,ExtSQD,5,-92.0589317614,1.499148e-09,1.168148e-19,3.672664e-23,2.171305e-05
1.1,ExtSQD,6,-92.0567788040,9.247388e-12,2.605492e-19,4.516459e-19,4.605792e-07
1.1,ExtSQD,7,-92.0414898349,1.164554e-23,5.160612e-11,5.348566e-10,1.333914e-20
1.1,ExtSQD,8,-92.0409823228,1.385337e-21,3.099350e-09,2.006221e-08,7.534001e-21
1.1,ExtSQD,9,-92.0318497317,2.739302e-18,3.514358e-10,2.798738e-10,3.383972e-16
1.1,ExtSQD,10,-92.0316547780,1.428300e-13,3.656656e-19,5.917284e-19,9.094650e-09
1.1,ExtSQD,11,-92.0315070420,5.302220e-18,1.507374e-10,1.394059e-11,5.983644e-16
1.1,ExtSQD,12,-92.0061085878,5.783403e-08,9.161636e-20,6.163901e-20,3.768655e-08
1.1,ExtSQD,13,-91.9943726943,1.308171e-11,2.270476e-19,7.549052e-19,1.832547e-11
1.1,ExtSQD,14,-91.9907826914,1.259438e-10,1.809996e-18,2.618210e-18,2.278894e-07
1.1,CIPSI_EN_SQD,0,-92.3736496951,9.999740e-01,1.651483e-21,3.168075e-22,3.108601e-09
1.1,CIPSI_EN_SQD,1,-92.2976800376,3.609922e-25,4.471599e-01,5.528065e-01,3.103158e-22
1.1,CIPSI_EN_SQD,2,-92.2976721234,5.061911e-23,5.528054e-01,4.471589e-01,1.022214e-22
1.1,CIPSI_EN_SQD,3,-92.2492799540,3.238574e-09,1.528686e-21,4.049855e-23,5.514807e-08
1.1,CIPSI_EN_SQD,4,-92.1079377861,2.724928e-09,8.524345e-22,6.268375e-22,9.999229e-01
1.1,CIPSI_EN_SQD,5,-92.0592804696,4.025794e-10,3.364828e-20,4.560253e-21,5.103728e-08
1.1,CIPSI_EN_SQD,6,-92.0571478380,2.017556e-11,3.591069e-20,6.161188e-21,1.128192e-08
1.1,CIPSI_EN_SQD,7,-92.0416588842,1.574163e-21,1.116087e-12,2.732435e-11,4.576179e-19
1.1,CIPSI_EN_SQD,8,-92.0414324905,2.381147e-21,1.027362e-10,1.805009e-11,4.490349e-20
1.1,CIPSI_EN_SQD,9,-92.0320611979,7.837889e-20,5.022986e-10,1.570265e-10,2.299643e-18
1.1,CIPSI_EN_SQD,10,-92.0319910286,8.353498e-11,3.667504e-20,1.935012e-19,3.412084e-09
1.1,CIPSI_EN_SQD,11,-92.0319016378,2.156528e-20,7.508653e-11,1.850230e-10,2.486450e-19
1.1,CIPSI_EN_SQD,12,-92.0065943144,1.463516e-09,9.356715e-21,1.139781e-20,2.162611e-06
1.1,CIPSI_EN_SQD,13,-91.9947012636,1.101367e-10,4.420811e-20,1.523817e-19,8.303987e-10
1.1,CIPSI_EN_SQD,14,-91.9912026958,8.250195e-14,8.443582e-20,1.057933e-21,4.466746e-09
1.15,ExtSQD,0,-92.3904932596,9.999080e-01,1.965177e-21,8.365005e-22,3.780308e-08
1.15,ExtSQD,1,-92.3263726698,5.220323e-22,8.028291e-02,9.196248e-01,2.998208e-21
1.15,ExtSQD,2,-92.3263570169,2.280798e-21,9.196199e-01,8.028263e-02,5.955600e-21
1.15,ExtSQD,3,-92.2626421317,2.235581e-08,1.581332e-22,2.345065e-22,5.017448e-07
1.15,ExtSQD,4,-92.1544706189,3.034010e-08,9.783791e-30,4.574740e-21,9.996070e-01
1.15,ExtSQD,5,-92.1057125919,2.134781e-08,5.876252e-21,1.933262e-20,2.582120e-05
1.15,ExtSQD,6,-92.1034673098,8.405376e-09,1.803443e-20,8.590784e-20,8.364984e-07
1.15,ExtSQD,7,-92.0789232023,7.267639e-10,4.696247e-20,1.244118e-19,2.135963e-08
1.15,ExtSQD,8,-92.0774923450,4.089867e-20,2.425966e-09,3.313328e-13,1.408107e-21
1.15,ExtSQD,9,-92.0770782363,2.308940e-20,1.994376e-08,1.524828e-09,3.720351e-19
1.15,ExtSQD,10,-92.0602300359,3.734406e-20,2.024151e-10,3.569762e-10,2.848487e-19
1.15,ExtSQD,11,-92.0600151966,6.208721e-19,1.499176e-10,3.919289e-10,2.370252e-18
1.15,ExtSQD,12,-92.0538994070,6.046156e-08,7.350474e-21,6.044801e-20,3.973857e-07
1.15,ExtSQD,13,-92.0417553725,1.731065e-09,4.929858e-23,6.545821e-20,1.510745e-08
1.15,ExtSQD,14,-92.0381714499,9.161797e-09,1.885402e-20,1.717381e-19,7.062515e-07
