R_angstrom,iteration,n_determinants,mode
1.4,0,,seed-broad
1.4,1,,EN+broad
1.4,2,,EN+broad
1.4,3,,EN+broad
1.4,final,,final
1.45,0,,seed-broad
1.45,1,,EN+broad
1.45,2,,EN+broad
1.45,3,,EN+broad
1.45,final,,final
1.5,0,,seed-broad
1.5,1,,EN+broad
1.5,2,,EN+broad
1.5,3,,EN+broad
1.5,final,,final
1.55,0,,seed-broad
1.55,1,,EN+broad
1.55,2,,EN+broad
1.55,3,,EN+broad
1.55,final,,final
1.6,0,,seed-broad
1.6,1,,EN+broad
1.6,2,,EN+broad
1.6,3,,EN+broad
1.6,4,,EN+broad
1.6,final,,final
1.65,0,,seed-broad
1.65,1,,EN+broad
1.65,2,,EN+broad
1.65,3,,EN+broad
1.65,final,,final
1.7,0,,seed-broad
1.7,1,,EN+broad
1.7,2,,EN+broad
1.7,3,,EN+broad
1.7,final,,final
1.75,0,,seed-broad
1.75,1,,EN+broad
1.75,2,,EN+broad
1.75,3,,EN+broad
1.75,final,,final
1.8,0,,seed-broad
1.8,1,,EN+broad
1.8,2,,EN+broad
1.8,3,,EN+broad
1.8,final,,final
1.85,0,,seed-broad
1.85,1,,EN+broad
1.85,2,,EN+broad
1.85,3,,EN+broad
1.85,final,,final
1.9,0,,seed-broad
1.9,1,,EN+broad
1.9,2,,EN+broad
1.9,3,,EN+broad
1.9,final,,final
1.95,0,,seed-broad
1.95,1,,EN+broad
1.95,2,,EN+broad
1.95,3,,EN+broad
1.95,final,,final
2.0,0,,seed-broad
2.0,1,,EN+broad
2.0,2,,EN+broad
2.0,3,,EN+broad
2.0,final,,final
2.1,0,,seed-broad
2.1,1,,EN+broad
2.1,2,,EN+broad
2.1,3,,EN+broad
2.1,final,,final
2.2,0,,seed-broad
2.2,1,,EN+broad
2.2,2,,EN+broad
2.2,3,,EN+broad
2.2,final,,final
2.3,0,,seed-broad
2.3,1,,EN+broad
2.3,2,,EN+broad
2.3,3,,EN+broad
2.3,final,,final
2.4,0,,seed-broad
2.4,1,,EN+broad
2.4,2,,EN+broad
2.4,3,,EN+broad
2.4,final,,final
2.5,0,,seed-broad
2.5,1,,EN+broad
2.5,2,,EN+broad
2.5,3,,EN+broad
2.5,final,,final
2.6,0,,seed-broad
2.6,1,,EN+broad
2.6,2,,EN+broad
2.6,3,,EN+broad
2.6,final,,final
2.7,0,,seed-broad
2.7,1,,EN+broad
2.7,2,,EN+broad
2.7,3,,EN+broad
2.7,final,,final
2.8,0,,seed-broad
2.8,1,,EN+broad
2.8,2,,EN+broad
2.8,3,,EN+broad
2.8,final,,final
2.9,0,,seed-broad
2.9,1,,EN+broad
2.9,2,,EN+broad
2.9,3,,EN+broad
2.9,final,,final
3.0,0,,seed-broad
3.0,1,,EN+broad
3.0,2,,EN+broad
3.0,3,,EN+broad
3.0,final,,final
3.1,0,,seed-broad
3.1,1,,EN+broad
3.1,2,,EN+broad
3.1,3,,EN+broad
3.1,final,,final
3.2,0,,seed-broad
3.2,1,,EN+broad
3.2,2,,EN+broad
3.2,3,,EN+broad
3.2,final,,final
3.3,0,,seed-broad
3.3,1,,EN+broad
3.3,2,,EN+broad
3.3,3,,EN+broad
3.3,final,,final
3.4,0,,seed-broad
3.4,1,,EN+broad
3.4,2,,EN+broad
3.4,3,,EN+broad
3.4,final,,final
3.5,0,,seed-broad
3.5,1,,EN+broad
3.5,2,,EN+broad
3.5,3,,EN+broad
3.5,final,,final
3.6,0,,seed-broad
3.6,1,,EN+broad
3.6,2,,EN+broad
3.6,3,,EN+broad
3.6,final,,final
3.7,0,,seed-broad
3.7,1,,EN+broad
3.7,2,,EN+broad
3.7,3,,EN+broad
3.7,final,,final
3.8,0,,seed-broad
3.8,1,,EN+broad
3.8,2,,EN+broad
3.8,3,,EN+broad
3.8,final,,final
3.9,0,,seed-broad
3.9,1,,EN+broad
3.9,2,,EN+broad
3.9,3,,EN+broad
3.9,final,,final
4.0,0,,seed-broad
4.0,1,,EN+broad
4.0,2,,EN+broad
4.0,3,,EN+broad
4.0,4,,EN+broad
4.0,final,,final
4.1,0,,seed-broad
4.1,1,,EN+broad
4.1,2,,EN+broad
4.1,3,,EN+broad
4.1,final,,final
4.2,0,,seed-broad
4.2,1,,EN+broad
4.2,2,,EN+broad
4.2,3,,EN+broad
4.2,4,,EN+broad
4.2,final,,final
4.3,0,,seed-broad
4.3,1,,EN+broad
4.3,2,,EN+broad
4.3,3,,EN+broad
4.3,final,,final
4.4,0,,seed-broad
4.4,1,,EN+broad
4.4,2,,EN+broad
4.4,3,,EN+broad
4.4,final,,final
4.5,0,,seed-broad
4.5,1,,EN+broad
4.5,2,,EN+broad
4.5,3,,EN+broad
4.5,4,,EN+broad
4.5,final,,final
4.6,0,,seed-broad
4.6,1,,EN+broad
4.6,2,,EN+broad
4.6,3,,EN+broad
4.6,final,,final
4.7,0,,seed-broad
4.7,1,,EN+broad
4.7,2,,EN+broad
4.7,3,,EN+broad
4.7,final,,final
4.8,0,,seed-broad
4.8,1,,EN+broad
4.8,2,,EN+broad
4.8,3,,EN+broad
4.8,final,,final
4.9,0,,seed-broad
4.9,1,,EN+broad
4.9,2,,EN+broad
4.9,3,,EN+broad
4.9,final,,final
5.0,0,,seed-broad
5.0,1,,EN+broad
5.0,2,,EN+broad
5.0,3,,EN+broad
5.0,final,,final
