R_angstrom,dim_SQD_alpha,dim_SQD_beta,dim_ExtSQD_alpha,dim_ExtSQD_beta,dim_CIPSI_EN_SQD_alpha,dim_CIPSI_EN_SQD_beta,shots,n_seeds,n_missing,n_important_missing,max_missing_weight,ext_recovery_pct,cipsi_recovery_pct,efficiency_ratio,selectivity_ratio
1.4,470,467,3400,2973,943,1158,100000,,2459,0,0.0005310846557950472,100.0,99.99991354496078,3.6055111988639097,3016172.301581089
1.45,470,467,3400,2973,976,1163,100000,,2428,0,0.00026328798130301374,100.0,99.99996257389175,3.483605253598688,6646974.750434794
1.5,481,470,3382,2977,1169,1153,100000,,2218,0,0.00016222900521349368,100.0,99.99997612057719,2.8930703100067756,7945534.147585678
1.55,481,470,3382,2977,1173,1154,100000,,2215,0,0.00021610255346796343,100.0,99.99997436870238,2.8832047170925104,7367243.242296499
1.6,481,470,3382,2977,1191,1162,100000,,2196,0,0.00021644677911628326,100.0,99.99997806917025,2.839629939797933,8407471.670300901
1.65,481,470,3382,2977,1173,1149,100000,,2215,0,0.0002796184218729024,100.0,99.99996891479672,2.883204559845205,6074658.513626401
1.7,481,470,3382,2977,1172,1118,100000,,2215,0,0.0002969806600714435,100.0,99.99996911776222,2.885664637852148,6119799.820787264
1.75,481,470,3382,2977,1195,1129,100000,,2194,0,0.00031167479479019553,100.0,99.99997134106238,2.8301247119286432,6406318.148165838
1.8,481,470,3382,2977,1171,1122,100000,,2216,0,0.00032359611606644324,100.0,99.99996819220142,2.8881288849361675,5949481.403553439
1.85,481,470,3382,2977,1198,1132,100000,,2190,0,0.00033257072288556014,100.0,99.99997350534937,2.823037649374721,6899680.519120731
1.9,481,470,3382,2977,1162,1116,100000,,2224,0,0.00021316741671438945,100.0,99.99997866300487,2.9104985184017425,8970059.021049717
1.95,481,470,3382,2977,1157,1118,100000,,2229,0,0.00029783518708728044,100.0,99.99997455634443,2.923076179339298,7571764.330827514
2.0,481,470,3382,2977,1142,1117,100000,,2244,0,0.0006286685435924349,100.0,99.99992889375919,2.9614689975367217,2763431.597669861
2.1,481,470,3382,2977,1142,1130,100000,,2244,0,0.0005443769650413746,100.0,99.999916348351,2.9614686260080827,2348993.834539635
2.2,481,470,3382,2977,1128,1110,100000,,2257,0,0.00030309220355823486,100.0,99.99996961452482,2.998226039329104,6585007.746631744
2.3,481,470,3382,2977,1126,1106,100000,,2259,0,0.0002664807056953875,100.0,99.99997442151418,3.003551629605337,7843373.4657559935
2.4,481,470,3382,2977,1120,1114,100000,,2265,0,0.00022119837019762874,100.0,99.99996607033204,3.0196418325880625,5960331.6392154265
2.5,481,470,3382,2977,1085,1115,100000,,2299,0,0.00022767144010354135,100.0,99.9999609171673,3.1170494730125324,5421544.49279625
2.6,481,470,3382,2977,1060,1143,100000,,2325,0,0.00018025801964460802,100.0,99.99996646642235,3.1905649678249093,6540893.119964932
2.7,481,470,3382,2977,1054,1151,100000,,2331,0,0.00018310124169018045,100.0,99.9999734131369,3.2087277996511285,8318297.397849864
2.8,464,454,3297,2984,1125,926,100000,,2198,0,0.0013344722810436976,100.0,99.99975102008882,2.930659369895403,784711.0650391969
2.9,464,454,3297,2984,1126,924,100000,,2197,0,0.0012146433552745093,100.0,99.99978977394917,2.928057787608441,928120.190519638
3.0,464,454,3297,2984,1121,924,100000,,2203,0,0.0019011542011466293,100.0,99.99954963169715,2.9411107505415295,436354.15052157344
3.1,464,454,3297,2984,1129,932,100000,,2193,0,0.000932624568508326,100.0,99.99986608184986,2.9202795258800616,1450456.3548814594
3.2,464,454,3297,2984,1147,931,100000,,2175,0,0.001286910551901192,100.0,99.99971441522835,2.8744468912555177,663986.970742126
3.3,464,454,3297,2984,1129,908,100000,,2189,0,0.0013809882039602847,100.0,99.9996992512341,2.9202746539532227,644683.6540171623
3.4,464,454,3297,2984,1125,907,100000,,2195,0,0.0010919049819295805,100.0,99.99968202125343,2.930657347769534,613596.0112727187
3.5,465,454,3393,2994,1126,872,100000,,2272,0,0.0006019192281705249,100.0,99.99979852311675,3.0133154208608803,1001483.5878272381
3.6,465,454,3393,2994,1112,847,100000,,2286,0,0.0010647489447286036,100.0,99.99967421245609,3.051249052184024,631008.9917449498
3.7,465,454,3393,2994,1147,830,100000,,2251,0,0.0005711111646868281,100.0,99.99979058575342,2.9581455052960886,937141.0089094975
3.8,465,454,3393,2994,1156,847,100000,,2242,0,0.0010104617677742249,100.0,99.99974441116316,2.9351136054245384,758813.0345058956
3.9,465,454,3393,2994,1150,843,100000,,2248,0,0.0009745825878769692,100.0,99.99973657724404,2.9504270104920782,742068.5619895274
4.0,464,454,3297,2984,1404,958,100000,,1928,0,0.00020572636298177923,100.0,99.99998051389527,2.3482901407002332,7047170.783885213
4.1,464,454,3297,2984,1442,961,100000,,1892,0,0.0002145296635060519,100.0,99.99997956878809,2.2864072998494755,6421872.008128073
4.2,464,454,3297,2984,1391,955,100000,,1939,0,0.00018804742643402833,100.0,99.9999675729616,2.370236470798378,4298760.47730541
4.3,464,454,3297,2984,1390,945,100000,,1943,0,0.00017643936575878957,100.0,99.9999719419454,2.371941780522259,4981960.8950786255
4.4,464,454,3297,2984,1401,943,100000,,1932,0,0.00016786569410461063,100.0,99.99998063880008,2.353318602185038,7122568.245373665
4.5,464,454,3297,2984,1400,927,100000,,1933,0,0.0001594377401859784,100.0,99.99998288042944,2.354999596834113,8065120.632886382
4.6,464,454,3297,2984,1338,928,100000,,1991,0,0.00014068111180542652,100.0,99.99998651852145,2.464125228337558,11037673.689227996
4.7,464,454,3297,2984,1338,926,100000,,1991,0,0.00012998035024628778,100.0,99.99998841309859,2.464125275022317,12842446.47874372
4.8,464,454,3297,2984,1343,926,100000,,1986,0,0.00012410688459364448,100.0,99.99999008105517,2.4549513573882273,14908628.582710484
4.9,464,454,3297,2984,1344,926,100000,,1985,0,0.00013152083487187106,100.0,99.99999112665176,2.4531247823256757,16644611.035357472
5.0,464,462,3396,2995,1245,834,100000,,2155,0,0.0003649706371880971,100.0,99.99997985212872,2.7277102937978244,8591097.67914084
