R_angstrom,method,orbital_index,occupation
1.4,ref,0,1.99985805
1.4,ref,1,1.99933247
1.4,ref,2,1.99887229
1.4,ref,3,1.99732124
1.4,ref,4,1.99614015
1.4,ref,5,1.98861361
1.4,ref,6,1.00537188
1.4,ref,7,0.00617511
1.4,ref,8,0.00580720
1.4,ref,9,0.00172103
1.4,ref,10,0.00059838
1.4,ref,11,0.00015682
1.4,ref,12,0.00002472
1.4,ref,13,0.00000703
1.4,ext,0,1.99985805
1.4,ext,1,1.99933266
1.4,ext,2,1.99887230
1.4,ext,3,1.99732143
1.4,ext,4,1.99614017
1.4,ext,5,1.98861385
1.4,ext,6,1.00537186
1.4,ext,7,0.00617485
1.4,ext,8,0.00580700
1.4,ext,9,0.00172096
1.4,ext,10,0.00059824
1.4,ext,11,0.00015683
1.4,ext,12,0.00002475
1.4,ext,13,0.00000704
1.4,cipsi,0,1.99985898
1.4,cipsi,1,1.99933598
1.4,cipsi,2,1.99887377
1.4,cipsi,3,1.99732443
1.4,cipsi,4,1.99614166
1.4,cipsi,5,1.98861726
1.4,cipsi,6,1.00537001
1.4,cipsi,7,0.00617285
1.4,cipsi,8,0.00580372
1.4,cipsi,9,0.00171716
1.4,cipsi,10,0.00059566
1.4,cipsi,11,0.00015651
1.4,cipsi,12,0.00002472
1.4,cipsi,13,0.00000729
1.45,ref,0,1.99986734
1.45,ref,1,1.99934204
1.45,ref,2,1.99888337
1.45,ref,3,1.99730862
1.45,ref,4,1.99613048
1.45,ref,5,1.98873894
1.45,ref,6,1.00536906
1.45,ref,7,0.00604308
1.45,ref,8,0.00583946
1.45,ref,9,0.00168708
1.45,ref,10,0.00060653
1.45,ref,11,0.00015366
1.45,ref,12,0.00002398
1.45,ref,13,0.00000635
1.45,ext,0,1.99986735
1.45,ext,1,1.99934222
1.45,ext,2,1.99888338
1.45,ext,3,1.99730881
1.45,ext,4,1.99613051
1.45,ext,5,1.98873918
1.45,ext,6,1.00536904
1.45,ext,7,0.00604282
1.45,ext,8,0.00583925
1.45,ext,9,0.00168700
1.45,ext,10,0.00060640
1.45,ext,11,0.00015366
1.45,ext,12,0.00002401
1.45,ext,13,0.00000636
1.45,cipsi,0,1.99986751
1.45,cipsi,1,1.99934517
1.45,cipsi,2,1.99888467
1.45,cipsi,3,1.99731156
1.45,cipsi,4,1.99613224
1.45,cipsi,5,1.98874240
1.45,cipsi,6,1.00536721
1.45,cipsi,7,0.00604106
1.45,cipsi,8,0.00583658
1.45,cipsi,9,0.00168422
1.45,cipsi,10,0.00060348
1.45,cipsi,11,0.00015341
1.45,cipsi,12,0.00002396
1.45,cipsi,13,0.00000654
1.5,ref,0,1.99987556
1.5,ref,1,1.99934919
1.5,ref,2,1.99888917
1.5,ref,3,1.99729450
1.5,ref,4,1.99611179
1.5,ref,5,1.98885698
1.5,ref,6,1.00538284
1.5,ref,7,0.00590206
1.5,ref,8,0.00587633
1.5,ref,9,0.00166210
1.5,ref,10,0.00062085
1.5,ref,11,0.00014974
1.5,ref,12,0.00002320
1.5,ref,13,0.00000568
1.5,ext,0,1.99987559
1.5,ext,1,1.99934990
1.5,ext,2,1.99888934
1.5,ext,3,1.99729561
1.5,ext,4,1.99611235
1.5,ext,5,1.98885837
1.5,ext,6,1.00538144
1.5,ext,7,0.00590205
1.5,ext,8,0.00587563
1.5,ext,9,0.00166120
1.5,ext,10,0.00061976
1.5,ext,11,0.00014982
1.5,ext,12,0.00002320
1.5,ext,13,0.00000573
1.5,cipsi,0,1.99987616
1.5,cipsi,1,1.99935519
1.5,cipsi,2,1.99889073
1.5,cipsi,3,1.99729944
1.5,cipsi,4,1.99611659
1.5,cipsi,5,1.98886320
1.5,cipsi,6,1.00537882
1.5,cipsi,7,0.00589943
1.5,cipsi,8,0.00587155
1.5,cipsi,9,0.00165496
1.5,cipsi,10,0.00061445
1.5,cipsi,11,0.00014969
1.5,cipsi,12,0.00002327
1.5,cipsi,13,0.00000652
1.55,ref,0,1.99988292
1.55,ref,1,1.99935362
1.55,ref,2,1.99889022
1.55,ref,3,1.99727868
1.55,ref,4,1.99608776
1.55,ref,5,1.98896988
1.55,ref,6,1.00540934
1.55,ref,7,0.00591479
1.55,ref,8,0.00575379
1.55,ref,9,0.00164552
1.55,ref,10,0.00064073
1.55,ref,11,0.00014533
1.55,ref,12,0.00002241
1.55,ref,13,0.00000502
1.55,ext,0,1.99988294
1.55,ext,1,1.99935442
1.55,ext,2,1.99889039
1.55,ext,3,1.99727992
1.55,ext,4,1.99608841
1.55,ext,5,1.98897142
1.55,ext,6,1.00540779
1.55,ext,7,0.00591392
1.55,ext,8,0.00575378
1.55,ext,9,0.00164454
1.55,ext,10,0.00063956
1.55,ext,11,0.00014543
