R_angstrom,state,E_FCI_Ha,E_ExtSQD_Ha,E_CIPSI_EN_SQD_Ha,err_ExtSQD_mHa,err_CIPSI_EN_SQD_mHa,S2_FCI,S2_ExtSQD,S2_CIPSI_EN_SQD
1.4,D0,-157.0846714360,-157.0846713381,-157.0846671714,0.0001,0.0043,0.750000,0.750000,0.750005
1.4,D1,-157.0400995909,-157.0400994836,-157.0400885970,0.0001,0.0110,0.750000,0.750000,0.750012
1.4,Q1,-156.9015728498,-156.9015696646,-156.9015480539,0.0032,0.0248,3.750000,3.749993,3.749935
1.4,D2,-156.9001583187,-156.9001564577,-156.9001382729,0.0019,0.0200,0.750000,0.750008,0.750083
1.45,D0,-157.0939727204,-157.0939726241,-157.0939695866,0.0001,0.0031,0.750000,0.750000,0.750004
1.45,D1,-157.0516698254,-157.0516697202,-157.0516634806,0.0001,0.0063,0.750000,0.750000,0.750007
1.45,Q1,-156.9176918012,-156.9176887861,-156.9176706465,0.0030,0.0212,3.750000,3.749993,3.749970
1.45,D2,-156.9163737371,-156.9163719716,-156.9163551525,0.0018,0.0186,0.750000,0.750008,0.750046
1.5,D0,-157.1004681587,-157.1004677081,-157.1004627555,0.0005,0.0054,0.750000,0.750001,0.750008
1.5,D1,-157.0602903514,-157.0602902862,-157.0602831238,0.0001,0.0072,0.750000,0.750000,0.750008
1.5,Q1,-156.9309180016,-156.9309155895,-156.9309002226,0.0024,0.0178,3.750000,3.749998,3.749994
1.5,D2,-156.9296844670,-156.9296826253,-156.9296670941,0.0018,0.0174,0.750000,0.750004,0.750020
1.55,D0,-157.1046516355,-157.1046511464,-157.1046462593,0.0005,0.0054,0.750000,0.750001,0.750008
1.55,D1,-157.0664589407,-157.0664588840,-157.0664520187,0.0001,0.0069,0.750000,0.750000,0.750008
1.55,Q1,-156.9417396998,-156.9417372203,-156.9417224634,0.0025,0.0172,3.750000,3.749998,3.749995
1.55,D2,-156.9405796158,-156.9405777343,-156.9405624623,0.0019,0.0172,0.750000,0.750004,0.750020
1.6,D0,-157.1069392133,-157.1069386770,-157.1069361000,0.0005,0.0031,0.750000,0.750001,0.750004
1.6,D1,-157.0705977990,-157.0705977495,-157.0705939586,0.0000,0.0038,0.750000,0.750000,0.750004
1.6,Q1,-156.9505687373,-156.9505661850,-156.9505559672,0.0026,0.0128,3.750000,3.749997,3.749990
1.6,D2,-156.9494720129,-156.9494700893,-156.9494580968,0.0019,0.0139,0.750000,0.750005,0.750024
1.65,D0,-157.1076800774,-157.1076794855,-157.1076748825,0.0006,0.0052,0.750000,0.750001,0.750008
1.65,D1,-157.0730635974,-157.0730635541,-157.0730597901,0.0000,0.0038,0.750000,0.750000,0.750004
1.65,Q1,-156.9577517402,-156.9577491133,-156.9577329579,0.0026,0.0188,3.750000,3.749997,3.749957
1.65,D2,-156.9567093166,-156.9567073505,-156.9566878735,0.0020,0.0214,0.750000,0.750005,0.750065
1.7,D0,-157.1071662636,-157.1071656075,-157.1071584688,0.0007,0.0078,0.750000,0.750001,0.750011
1.7,D1,-157.0741564606,-157.0741564226,-157.0741526613,0.0000,0.0038,0.750000,0.750000,0.750004
1.7,Q1,-156.9635799455,-156.9635772454,-156.9635620925,0.0027,0.0179,3.750000,3.749996,3.749963
1.7,D2,-156.9625837779,-156.9625817713,-156.9625635745,0.0020,0.0202,0.750000,0.750006,0.750058
1.75,D0,-157.1056412319,-157.1056405032,-157.1056387045,0.0007,0.0025,0.750000,0.750001,0.750003
1.75,D1,-157.0741280046,-157.0741279711,-157.0741237158,0.0000,0.0043,0.750000,0.750000,0.750005
1.75,Q1,-156.9682976778,-156.9682949096,-156.9682840163,0.0028,0.0137,3.750000,3.749995,3.749894
1.75,D2,-156.9673406734,-156.9673386304,-156.9673229889,0.0020,0.0177,0.750000,0.750006,0.750127
1.8,D0,-157.1033073879,-157.1033065783,-157.1033006221,0.0008,0.0068,0.750000,0.750001,0.750010
1.8,D1,-157.0731885265,-157.0731884966,-157.0731846182,0.0000,0.0039,0.750000,0.750000,0.750005
1.8,Q1,-156.9721095889,-156.9721067610,-156.9720931654,0.0028,0.0164,3.750000,3.749995,3.749981
1.8,D2,-156.9711855166,-156.9711834431,-156.9711675892,0.0021,0.0179,0.750000,0.750007,0.750037
1.85,D0,-157.1003326402,-157.1003317418,-157.1003305653,0.0009,0.0021,0.750000,0.750001,0.750002
1.85,D1,-157.0715134079,-157.0715133812,-157.0715104349,0.0000,0.0030,0.750000,0.750000,0.750003
1.85,Q1,-156.9751868102,-156.9751839336,-156.9751740655,0.0029,0.0127,3.750000,3.749994,3.749938
1.85,D2,-156.9742901963,-156.9742881000,-156.9742747083,0.0021,0.0155,0.750000,0.750008,0.750081
1.9,D0,-157.0968560625,-157.0968550676,-157.0968503397,0.0010,0.0057,0.750000,0.750002,0.750009
1.9,D1,-157.0692487475,-157.0692487234,-157.0692450175,0.0000,0.0037,0.750000,0.750000,0.750005
