R_angstrom,n_configs,cumulative_weight
1.4,1,99.1803843343
1.4,35,99.9826445845
1.4,69,99.9956840804
1.4,103,99.9985029908
1.4,137,99.9993931986
1.4,171,99.9997232348
1.4,205,99.9998499913
1.4,239,99.9999093805
1.4,273,99.9999414376
1.4,307,99.9999612948
1.4,341,99.9999734627
1.4,375,99.9999815626
1.4,409,99.9999869441
1.4,443,99.9999905661
1.4,477,99.9999931625
1.4,511,99.9999950620
1.4,545,99.9999963959
1.4,579,99.9999973351
1.4,613,99.9999980001
1.4,647,99.9999984772
1.4,681,99.9999988277
1.4,715,99.9999990803
1.4,749,99.9999992730
1.4,783,99.9999994190
1.4,817,99.9999995356
1.4,851,99.9999996246
1.4,885,99.9999996954
1.4,919,99.9999997500
1.4,953,99.9999997941
1.4,987,99.9999998301
1.4,1021,99.9999998589
1.4,1055,99.9999998824
1.4,1089,99.9999999025
1.4,1123,99.9999999186
1.4,1157,99.9999999319
1.4,1191,99.9999999428
1.4,1225,99.9999999520
1.4,1259,99.9999999597
1.4,1293,99.9999999659
1.4,1327,99.9999999710
1.4,1361,99.9999999752
1.4,1395,99.9999999789
1.4,1429,99.9999999822
1.4,1463,99.9999999851
1.4,1497,99.9999999876
1.4,1531,99.9999999896
1.4,1565,99.9999999913
1.4,1599,99.9999999928
1.4,1633,99.9999999940
1.4,1667,99.9999999951
1.4,1701,99.9999999960
1.4,1735,99.9999999967
1.4,1769,99.9999999973
1.4,1803,99.9999999978
1.4,1837,99.9999999982
1.4,1871,99.9999999986
1.4,1905,99.9999999988
1.4,1939,99.9999999991
1.4,1973,99.9999999992
1.4,2007,99.9999999994
1.4,2041,99.9999999995
1.4,2075,99.9999999996
1.4,2109,99.9999999997
1.4,2143,99.9999999997
1.4,2177,99.9999999998
1.4,2211,99.9999999998
1.4,2245,99.9999999999
1.4,2279,99.9999999999
1.4,2313,99.9999999999
1.4,2347,99.9999999999
1.4,2381,99.9999999999
1.4,2415,100.0000000000
1.4,2449,100.0000000000
1.4,2483,100.0000000000
1.4,2517,100.0000000000
1.4,2551,100.0000000000
1.4,2585,100.0000000000
1.4,2619,100.0000000000
1.4,2653,100.0000000000
1.4,2687,100.0000000000
1.4,2721,100.0000000000
1.4,2755,100.0000000000
1.4,2789,100.0000000000
1.4,2823,100.0000000000
1.4,2857,100.0000000000
1.4,2891,100.0000000000
1.4,2925,100.0000000000
1.4,2959,100.0000000000
1.4,2993,100.0000000000
1.4,3027,100.0000000000
1.4,3061,100.0000000000
1.4,3095,100.0000000000
1.4,3129,100.0000000000
1.4,3163,100.0000000000
1.4,3197,100.0000000000
1.4,3231,100.0000000000
1.4,3265,100.0000000000
1.4,3299,100.0000000000
1.4,3333,100.0000000000
1.4,3367,100.0000000000
1.4,3401,100.0000000000
1.4,3432,100.0000000000
1.45,1,99.1881917927
1.45,35,99.9828017867
1.45,69,99.9957973739
1.45,103,99.9985284329
1.45,137,99.9994001110
1.45,171,99.9997209929
1.45,205,99.9998489813
1.45,239,99.9999102501
1.45,273,99.9999429100
1.45,307,99.9999625277
1.45,341,99.9999745168
1.45,375,99.9999823174
1.45,409,99.9999873833
1.45,443,99.9999907964
1.45,477,99.9999934149
1.45,511,99.9999952996
1.45,545,99.9999965636
1.45,579,99.9999974401
1.45,613,99.9999980718
1.45,647,99.9999985235
1.45,681,99.9999988563
1.45,715,99.9999991029
1.45,749,99.9999992943
1.45,783,99.9999994387
1.45,817,99.9999995520
1.45,851,99.9999996379
1.45,885,99.9999997062
1.45,919,99.9999997599
1.45,953,99.9999998024
1.45,987,99.9999998369
1.45,1021,99.9999998655
1.45,1055,99.9999998887
1.45,1089,99.9999999082
1.45,1123,99.9999999239
1.45,1157,99.9999999365
1.45,1191,99.9999999470
1.45,1225,99.9999999555
1.45,1259,99.9999999626
1.45,1293,99.9999999682
1.45,1327,99.9999999730
1.45,1361,99.9999999770
1.45,1395,99.9999999803
1.45,1429,99.9999999833
1.45,1463,99.9999999860
1.45,1497,99.9999999883
1.45,1531,99.9999999903
1.45,1565,99.9999999919
1.45,1599,99.9999999933
1.45,1633,99.9999999944
1.45,1667,99.9999999954
1.45,1701,99.9999999963
1.45,1735,99.9999999970
1.45,1769,99.9999999975
1.45,1803,99.9999999980
1.45,1837,99.9999999984
1.45,1871,99.9999999987
1.45,1905,99.9999999989
1.45,1939,99.9999999991
1.45,1973,99.9999999993
1.45,2007,99.9999999994
1.45,2041,99.9999999995
1.45,2075,99.9999999996
1.45,2109,99.9999999997
1.45,2143,99.9999999998
1.45,2177,99.9999999998
1.45,2211,99.9999999998
1.45,2245,99.9999999999
1.45,2279,99.9999999999
1.45,2313,99.9999999999
1.45,2347,99.9999999999
1.45,2381,99.9999999999
1.45,2415,100.0000000000
1.45,2449,100.0000000000
1.45,2483,100.0000000000
1.45,2517,100.0000000000
1.45,2551,100.0000000000
1.45,2585,100.0000000000
1.45,2619,100.0000000000
1.45,2653,100.0000000000
1.45,2687,100.0000000000
1.45,2721,100.0000000000
1.45,2755,100.0000000000
1.45,2789,100.0000000000
1.45,2823,100.0000000000
1.45,2857,100.0000000000
1.45,2891,100.0000000000
1.45,2925,100.0000000000
1.45,2959,100.0000000000
1.45,2993,100.0000000000
1.45,3027,100.0000000000
1.45,3061,100.0000000000
1.45,3095,100.0000000000
1.45,3129,100.0000000000
1.45,3163,100.0000000000
1.45,3197,100.0000000000
1.45,3231,100.0000000000
1.45,3265,100.0000000000
1.45,3299,100.0000000000
1.45,3333,100.0000000000
1.45,3367,100.0000000000
1.45,3401,100.0000000000
1.45,3432,100.0000000000
1.5,1,99.1952429656
1.5,35,99.9829601521
1.5,69,99.9958494340
1.5,103,99.9985321647
1.5,137,99.9993968890
1.5,171,99.9997157928
1.5,205,99.9998501499
1.5,239,99.9999109436
1.5,273,99.9999432233
1.5,307,99.9999627582
1.5,341,99.9999744757
1.5,375,99.9999821389
1.5,409,99.9999872192
1.5,443,99.9999907008
1.5,477,99.9999933911
1.5,511,99.9999952861
