R_angstrom,iteration,n_determinants,mode
0.8,0,2268,seed-broad
0.8,1,2394,EN+broad
0.8,2,2397,EN+broad
0.8,3,2401,EN+broad
0.8,4,2401,EN+broad
0.8,final,2401,final
0.85,0,2201,seed-broad
0.85,1,2295,EN+broad
0.85,2,2304,EN+broad
0.85,3,2304,EN+broad
0.85,final,2304,final
0.9,0,2213,seed-broad
0.9,1,2318,EN+broad
0.9,2,2323,EN+broad
0.9,3,2323,EN+broad
0.9,final,2323,final
0.95,0,2291,seed-broad
0.95,1,2407,EN+broad
0.95,2,2418,EN+broad
0.95,3,2418,EN+broad
0.95,final,2418,final
1.0,0,2255,seed-broad
1.0,1,2380,EN+broad
1.0,2,2393,EN+broad
1.0,3,2394,EN+broad
1.0,4,2394,EN+broad
1.0,final,2394,final
1.05,0,2462,seed-broad
1.05,1,2561,EN+broad
1.05,2,2573,EN+broad
1.05,3,2573,EN+broad
1.05,final,2573,final
1.1,0,2376,seed-broad
1.1,1,2496,EN+broad
1.1,2,2510,EN+broad
1.1,3,2517,EN+broad
1.1,4,2517,EN+broad
1.1,final,2517,final
1.15,0,2313,seed-broad
1.15,1,2424,EN+broad
1.15,2,2435,EN+broad
1.15,3,2436,EN+broad
1.15,4,2436,EN+broad
1.15,final,2436,final
1.2,0,2360,seed-broad
1.2,1,2450,EN+broad
1.2,2,2457,EN+broad
1.2,3,2457,EN+broad
1.2,final,2457,final
1.25,0,2172,seed-broad
1.25,1,2281,EN+broad
1.25,2,2298,EN+broad
1.25,3,2298,EN+broad
1.25,final,2298,final
1.3,0,2186,seed-broad
1.3,1,2294,EN+broad
1.3,2,2307,EN+broad
1.3,3,2307,EN+broad
1.3,final,2307,final
1.35,0,2141,seed-broad
1.35,1,2291,EN+broad
1.35,2,2308,EN+broad
1.35,3,2309,EN+broad
1.35,4,2309,EN+broad
1.35,final,2309,final
1.4,0,2254,seed-broad
1.4,1,2332,EN+broad
1.4,2,2349,EN+broad
1.4,3,2349,EN+broad
1.4,final,2349,final
1.45,0,2254,seed-broad
1.45,1,2350,EN+broad
1.45,2,2354,EN+broad
1.45,3,2354,EN+broad
1.45,final,2354,final
1.5,0,2276,seed-broad
1.5,1,2354,EN+broad
1.5,2,2361,EN+broad
1.5,3,2363,EN+broad
1.5,4,2363,EN+broad
1.5,final,2363,final
1.55,0,2212,seed-broad
1.55,1,2304,EN+broad
1.55,2,2323,EN+broad
1.55,3,2325,EN+broad
1.55,4,2325,EN+broad
1.55,final,2325,final
1.6,0,2108,seed-broad
1.6,1,2244,EN+broad
1.6,2,2253,EN+broad
1.6,3,2254,EN+broad
1.6,4,2254,EN+broad
1.6,final,2254,final
1.7,0,2144,seed-broad
1.7,1,2284,EN+broad
1.7,2,2294,EN+broad
1.7,3,2298,EN+broad
1.7,4,2300,EN+broad
1.7,5,2301,EN+broad
1.7,6,2301,EN+broad
1.7,final,2301,final
1.8,0,2163,seed-broad
1.8,1,2292,EN+broad
1.8,2,2300,EN+broad
1.8,3,2300,EN+broad
1.8,final,2300,final
1.9,0,2275,seed-broad
1.9,1,2360,EN+broad
1.9,2,2366,EN+broad
1.9,3,2366,EN+broad
1.9,final,2366,final
2.0,0,2272,seed-broad
2.0,1,2364,EN+broad
2.0,2,2371,EN+broad
2.0,3,2371,EN+broad
2.0,final,2371,final
2.1,0,2260,seed-broad
2.1,1,2364,EN+broad
2.1,2,2370,EN+broad
2.1,3,2370,EN+broad
2.1,final,2370,final
2.2,0,2136,seed-broad
2.2,1,2250,EN+broad
2.2,2,2263,EN+broad
2.2,3,2264,EN+broad
2.2,4,2264,EN+broad
2.2,final,2264,final
2.3,0,2123,seed-broad
2.3,1,2224,EN+broad
2.3,2,2245,EN+broad
2.3,3,2245,EN+broad
2.3,final,2245,final
2.4,0,2364,seed-broad
2.4,1,2383,EN+broad
2.4,2,2385,EN+broad
2.4,3,2385,EN+broad
2.4,final,2385,final
2.5,0,2189,seed-broad
2.5,1,2249,EN+broad
2.5,2,2265,EN+broad
2.5,3,2265,EN+broad
2.5,final,2265,final
2.6,0,2449,seed-broad
2.6,1,2479,EN+broad
2.6,2,2479,EN+broad
2.6,final,2479,final
2.7,0,2231,seed-broad
2.7,1,2306,EN+broad
2.7,2,2329,EN+broad
2.7,3,2335,EN+broad
2.7,4,2336,EN+broad
2.7,5,2336,EN+broad
2.7,final,2336,final
2.8,0,2466,seed-broad
2.8,1,2496,EN+broad
2.8,2,2496,EN+broad
2.8,final,2496,final
2.9,0,2336,seed-broad
2.9,1,2386,EN+broad
2.9,2,2397,EN+broad
2.9,3,2399,EN+broad
2.9,4,2399,EN+broad
2.9,final,2399,final
3.0,0,2641,seed-broad
3.0,1,2670,EN+broad
3.0,2,2670,EN+broad
3.0,final,2670,final
