R_angstrom,dim_SQD,dim_ExtSQD,dim_CIPSI_EN_SQD,shots,n_seeds,n_missing,n_important_missing,max_missing_weight,ext_recovery_pct,cipsi_recovery_pct,efficiency_ratio
0.8,143,4110,2401,100000,1,1709,0,0.00012075225498996446,100.0,99.99987986373145,1.7117846990418004
0.85,148,4211,2304,100000,1,1907,0,0.0001830196321935753,100.0,99.99987235166758,1.8276886392051745
0.9,159,4287,2323,100000,1,1964,0,0.000510166217963449,100.0,99.99980444902145,1.8454548500772923
0.95,142,4113,2418,100000,1,1695,0,5.892033905684831e-05,100.0,99.9998597798145,1.7009901706963484
1.0,150,4177,2394,100000,1,1783,0,0.00012529124241215584,100.0,99.99979762171321,1.7447750821466004
1.05,134,4079,2573,100000,1,1506,0,0.00014805636904925988,100.0,99.99974832570744,1.5853049880317165
1.1,139,4119,2517,100000,1,1602,0,0.00012068456039765315,100.0,99.99969925850701,1.6364670689145426
1.15,135,4106,2436,100000,1,1670,0,0.00021742102186512153,100.0,99.9995966596771,1.6855432835986626
1.2,125,4068,2457,100000,1,1611,0,0.0001763137880394056,100.0,99.99956991467279,1.655670534850993
1.25,129,4081,2298,100000,1,1787,0,0.0006137161977860894,100.0,99.99913450216393,1.775876709762102
1.3,135,4109,2307,100000,1,1806,0,0.0006206272755536715,100.0,99.99905315774741,1.7810841327489562
1.35,129,4137,2309,100000,1,1832,0,0.0004254537604339743,100.0,99.99900885020261,1.7916669537171424
1.4,122,4128,2349,100000,1,1779,0,0.0007400813874475033,100.0,99.99902598899264,1.7573264337273804
1.45,126,4056,2354,100000,1,1702,0,0.000755446528293888,100.0,99.99904378248942,1.7230081630491805
1.5,122,4122,2363,100000,1,1759,0,0.00028548881299596864,100.0,99.99889228190143,1.744373398163342
1.55,114,4037,2325,100000,1,1712,0,0.0007621016698375373,100.0,99.99861515882296,1.736320040413627
1.6,109,3996,2254,100000,1,1743,0,0.001035326238163784,100.0,99.99815501691658,1.772815560992008
1.7,107,3940,2301,100000,1,1641,0,0.0014077391989284036,100.0,99.99799438260511,1.7122646582679886
1.8,108,3949,2300,100000,1,1649,0,0.000633519110018843,100.0,99.99743696945922,1.7169125156191065
1.9,109,3729,2366,100000,1,1363,0,0.0006829384087640852,100.0,99.99764278702192,1.5760406168757597
2.0,110,3848,2371,100000,1,1477,0,0.0008411107298050528,100.0,99.99751652684043,1.6229036001488062
2.1,110,3741,2370,100000,1,1371,0,0.0008046625760089885,100.0,99.99755718595792,1.578442453302399
2.2,97,3687,2264,100000,1,1426,0,0.0010977719151028414,100.0,99.99727899559794,1.6284892564344946
2.3,101,3710,2245,100000,1,1465,0,0.001131209107707674,100.0,99.996319449929,1.6525004238718777
2.4,120,3831,2385,100000,1,1446,0,0.00032189431690438135,100.0,99.99757876132378,1.606250416078119
2.5,113,3705,2265,100000,1,1440,0,0.001295252426890506,100.0,99.99643786664701,1.6357033213948222
2.6,148,4061,2479,100000,1,1583,0,0.00022453463969846136,100.0,99.99803534220578,1.63812836435941
2.7,118,3729,2336,100000,1,1399,0,0.0014010854871702471,100.0,99.99646571020496,1.5962620746290852
2.8,144,4006,2496,100000,1,1510,0,0.0010439646214106119,100.0,99.99779763280848,1.6049326014304115
2.9,124,3859,2399,100000,1,1460,0,0.0002454080334809779,100.0,99.99753755377877,1.6085473006253952
3.0,154,3841,2670,100000,1,1171,0,0.0008343414442833926,100.0,99.99853951389187,1.4385557688122048
