R_angstrom,method,orbital_index,occupation
0.8,ref,0,1.99661591
0.8,ref,1,1.98366685
0.8,ref,2,1.97461048
0.8,ref,3,1.96896927
0.8,ref,4,1.96896927
0.8,ref,5,0.03018070
0.8,ref,6,0.03018070
0.8,ref,7,0.01167951
0.8,ref,8,0.01005015
0.8,ref,9,0.00636381
0.8,ref,10,0.00636381
0.8,ref,11,0.00469936
0.8,ref,12,0.00431290
0.8,ref,13,0.00155305
0.8,ref,14,0.00089211
0.8,ref,15,0.00089211
0.8,ext,0,1.99661593
0.8,ext,1,1.98366689
0.8,ext,2,1.97461052
0.8,ext,3,1.96896930
0.8,ext,4,1.96896930
0.8,ext,5,0.03018067
0.8,ext,6,0.03018066
0.8,ext,7,0.01167949
0.8,ext,8,0.01005013
0.8,ext,9,0.00636381
0.8,ext,10,0.00636380
0.8,ext,11,0.00469935
0.8,ext,12,0.00431288
0.8,ext,13,0.00155304
0.8,ext,14,0.00089210
0.8,ext,15,0.00089210
0.8,cipsi,0,1.99662132
0.8,cipsi,1,1.98367832
0.8,cipsi,2,1.97462082
0.8,cipsi,3,1.96897776
0.8,cipsi,4,1.96897734
0.8,cipsi,5,0.03017221
0.8,cipsi,6,0.03017203
0.8,cipsi,7,0.01167505
0.8,cipsi,8,0.01004429
0.8,cipsi,9,0.00635989
0.8,cipsi,10,0.00635913
0.8,cipsi,11,0.00469678
0.8,cipsi,12,0.00430949
0.8,cipsi,13,0.00155160
0.8,cipsi,14,0.00089200
0.8,cipsi,15,0.00089197
0.85,ref,0,1.99609405
0.85,ref,1,1.98310040
0.85,ref,2,1.97418983
0.85,ref,3,1.96444231
0.85,ref,4,1.96444231
0.85,ref,5,0.03475570
0.85,ref,6,0.03475570
0.85,ref,7,0.01178542
0.85,ref,8,0.01001721
0.85,ref,9,0.00650485
0.85,ref,10,0.00650485
0.85,ref,11,0.00465136
0.85,ref,12,0.00462233
0.85,ref,13,0.00224665
0.85,ref,14,0.00094351
0.85,ref,15,0.00094351
0.85,ext,0,1.99609406
0.85,ext,1,1.98310042
0.85,ext,2,1.97418985
0.85,ext,3,1.96444232
0.85,ext,4,1.96444232
0.85,ext,5,0.03475569
0.85,ext,6,0.03475569
0.85,ext,7,0.01178541
0.85,ext,8,0.01001720
0.85,ext,9,0.00650485
0.85,ext,10,0.00650484
0.85,ext,11,0.00465135
0.85,ext,12,0.00462232
0.85,ext,13,0.00224665
0.85,ext,14,0.00094351
0.85,ext,15,0.00094351
0.85,cipsi,0,1.99609954
0.85,cipsi,1,1.98311081
0.85,cipsi,2,1.97420049
0.85,cipsi,3,1.96445088
0.85,cipsi,4,1.96445070
0.85,cipsi,5,0.03474688
0.85,cipsi,6,0.03474659
0.85,cipsi,7,0.01178198
0.85,cipsi,8,0.01001263
0.85,cipsi,9,0.00650125
0.85,cipsi,10,0.00650100
0.85,cipsi,11,0.00464827
0.85,cipsi,12,0.00461797
0.85,cipsi,13,0.00224455
0.85,cipsi,14,0.00094325
0.85,cipsi,15,0.00094320
0.9,ref,0,1.99535557
0.9,ref,1,1.98233420
0.9,ref,2,1.97382023
0.9,ref,3,1.95932407
0.9,ref,4,1.95932407
0.9,ref,5,0.04000989
0.9,ref,6,0.04000989
0.9,ref,7,0.01183993
0.9,ref,8,0.01011728
0.9,ref,9,0.00656767
0.9,ref,10,0.00656767
0.9,ref,11,0.00490946
0.9,ref,12,0.00457861
0.9,ref,13,0.00324046
0.9,ref,14,0.00100050
0.9,ref,15,0.00100050
0.9,ext,0,1.99535558
0.9,ext,1,1.98233422
0.9,ext,2,1.97382024
0.9,ext,3,1.95932409
0.9,ext,4,1.95932408
0.9,ext,5,0.04000988
0.9,ext,6,0.04000988
0.9,ext,7,0.01183993
0.9,ext,8,0.01011727
0.9,ext,9,0.00656766
0.9,ext,10,0.00656766
0.9,ext,11,0.00490946
0.9,ext,12,0.00457861
0.9,ext,13,0.00324045
0.9,ext,14,0.00100050
0.9,ext,15,0.00100050
0.9,cipsi,0,1.99536333
0.9,cipsi,1,1.98234549
0.9,cipsi,2,1.97383301
0.9,cipsi,3,1.95933504
0.9,cipsi,4,1.95933425
0.9,cipsi,5,0.03999940
0.9,cipsi,6,0.03999919
