R_angstrom,state,E_FCI_Ha,E_ExtSQD_Ha,E_CIPSI_EN_SQD_Ha,err_ExtSQD_mHa,err_CIPSI_EN_SQD_mHa,S2_FCI,S2_ExtSQD,S2_CIPSI_EN_SQD
0.8,S0,-108.5503382795,-108.5503382295,-108.5503230013,0.0001,0.0153,0.000000,0.000000,0.000007
0.8,T1,-108.0519535831,-108.0519532228,-108.0517031996,0.0004,0.2504,2.000000,2.000000,2.000062
0.8,T2,-108.0519535831,-108.0519529110,-108.0516996508,0.0007,0.2539,2.000000,2.000000,2.000064
0.85,S0,-108.7844617423,-108.7844617216,-108.7844467987,0.0000,0.0149,0.000000,0.000000,0.000007
0.85,T1,-108.3230824458,-108.3230823059,-108.3229208657,0.0001,0.1616,2.000000,2.000000,2.000035
0.85,T2,-108.3230824458,-108.3230821528,-108.3229111246,0.0003,0.1713,2.000000,2.000000,2.000038
0.9,S0,-108.9440362939,-108.9440362793,-108.9440159854,0.0000,0.0203,0.000000,0.000000,0.000010
0.9,T1,-108.5182552292,-108.5182547983,-108.5180909379,0.0004,0.1643,2.000000,2.000000,2.000039
0.9,T2,-108.5182552292,-108.5182547227,-108.5180854123,0.0005,0.1698,2.000000,2.000000,2.000040
0.95,S0,-109.0490514105,-109.0490512822,-109.0490339332,0.0001,0.0175,0.000000,0.000000,0.000008
0.95,T1,-108.6568644695,-108.6568635647,-108.6566200882,0.0009,0.2444,2.000000,2.000000,2.000061
0.95,T2,-108.6568644695,-108.6568635313,-108.6566001500,0.0009,0.2643,2.000000,2.000000,2.000067
1.0,S0,-109.1142457836,-109.1142456866,-109.1142216065,0.0001,0.0242,0.000000,0.000000,0.000012
1.0,T1,-108.7533486099,-108.7533480216,-108.7531336118,0.0006,0.2150,2.000000,2.000000,2.000051
1.0,T2,-108.7533486099,-108.7533479803,-108.7530853905,0.0006,0.2632,2.000000,2.000000,2.000066
1.05,S0,-109.1572416480,-109.1572412194,-109.1572121052,0.0004,0.0295,0.000000,0.000000,0.000016
1.05,T1,-108.8257097771,-108.8257088596,-108.8256438564,0.0009,0.0659,2.000000,2.000000,2.000022
1.05,T2,-108.8248301695,-108.8248290769,-108.8245848807,0.0011,0.2453,2.000000,2.000000,2.000067
1.1,S0,-109.1713907384,-109.1713904313,-109.1713564793,0.0003,0.0343,0.000000,0.000000,0.000019
1.1,T1,-108.8807128191,-108.8807121799,-108.8806355600,0.0006,0.0773,2.000000,2.000000,2.000029
1.1,T2,-108.8656422509,-108.8656409281,-108.8653241085,0.0013,0.3181,2.000000,2.000001,2.000089
1.15,S0,-109.1705170098,-109.1705167054,-109.1704735546,0.0003,0.0435,0.000000,0.000000,0.000025
1.15,T1,-108.9166426934,-108.9166420258,-108.9165665018,0.0007,0.0762,2.000000,2.000000,2.000028
1.15,T2,-108.8891380259,-108.8891363853,-108.8887564438,0.0016,0.3816,2.000000,2.000001,2.000111
1.2,S0,-109.1593187642,-109.1593182901,-109.1592725475,0.0005,0.0462,0.000000,0.000000,0.000027
