R_angstrom,n_configs,cumulative_weight
0.8,1,95.2224705022
0.8,44,99.4625599116
0.8,87,99.8337908140
0.8,130,99.9199544429
0.8,173,99.9485543464
0.8,216,99.9636609315
0.8,259,99.9720933143
0.8,302,99.9778225066
0.8,345,99.9822934766
0.8,388,99.9855529727
0.8,431,99.9880701982
0.8,474,99.9900250694
0.8,517,99.9916259015
0.8,560,99.9929307267
0.8,603,99.9939983884
0.8,646,99.9949036456
0.8,689,99.9956661891
0.8,732,99.9962953132
0.8,775,99.9968042353
0.8,818,99.9972472217
0.8,861,99.9976107783
0.8,904,99.9979063559
0.8,947,99.9981605517
0.8,990,99.9983768568
0.8,1033,99.9985580775
0.8,1076,99.9987176842
0.8,1119,99.9988619657
0.8,1162,99.9989885384
0.8,1205,99.9990986791
0.8,1248,99.9991969086
0.8,1291,99.9992822406
0.8,1334,99.9993580996
0.8,1377,99.9994267444
0.8,1420,99.9994894649
0.8,1463,99.9995442777
0.8,1506,99.9995931134
0.8,1549,99.9996366122
0.8,1592,99.9996758936
0.8,1635,99.9997110614
0.8,1678,99.9997429633
0.8,1721,99.9997715427
0.8,1764,99.9997973333
0.8,1807,99.9998203499
0.8,1850,99.9998407055
0.8,1893,99.9998591188
0.8,1936,99.9998758710
0.8,1979,99.9998899849
0.8,2022,99.9999027752
0.8,2065,99.9999141342
0.8,2108,99.9999240315
0.8,2151,99.9999326951
0.8,2194,99.9999402616
0.8,2237,99.9999469203
0.8,2280,99.9999526101
0.8,2323,99.9999576018
0.8,2366,99.9999621431
0.8,2409,99.9999662162
0.8,2452,99.9999698301
0.8,2495,99.9999731023
0.8,2538,99.9999760441
0.8,2581,99.9999786218
0.8,2624,99.9999809267
0.8,2667,99.9999829682
0.8,2710,99.9999847692
0.8,2753,99.9999863618
0.8,2796,99.9999877970
0.8,2839,99.9999891131
0.8,2882,99.9999902645
0.8,2925,99.9999913009
0.8,2968,99.9999922425
0.8,3011,99.9999931150
0.8,3054,99.9999939275
0.8,3097,99.9999946624
0.8,3140,99.9999953286
0.8,3183,99.9999959243
0.8,3226,99.9999964603
0.8,3269,99.9999969389
0.8,3312,99.9999973608
0.8,3355,99.9999977378
0.8,3398,99.9999980744
0.8,3441,99.9999983662
0.8,3484,99.9999986189
0.8,3527,99.9999988436
0.8,3570,99.9999990429
0.8,3613,99.9999992225
0.8,3656,99.9999993811
0.8,3699,99.9999995171
0.8,3742,99.9999996328
0.8,3785,99.9999997275
0.8,3828,99.9999998043
0.8,3871,99.9999998649
0.8,3914,99.9999999133
0.8,3957,99.9999999506
0.8,4000,99.9999999753
