R_angstrom,dim_SQD_alpha,dim_SQD_beta,dim_ExtSQD_alpha,dim_ExtSQD_beta,dim_CIPSI_EN_SQD_alpha,dim_CIPSI_EN_SQD_beta,shots,n_seeds,n_missing,n_important_missing,max_missing_weight,ext_recovery_pct,cipsi_recovery_pct,efficiency_ratio,selectivity_ratio
0.7,466,384,3003,816,1683,809,100000,,1350,0,0.0007404829375509632,100.0,99.99858407418046,1.7842884609314553,56650.40277671225
0.75,466,384,3003,816,1671,811,100000,,1358,0,0.0007557043996539139,100.0,99.99849713302247,1.797100460146418,54074.96554102479
0.8,466,384,3003,816,1654,814,100000,,1374,0,0.00043356429283190976,100.0,99.9986005822651,1.8155731411640998,59360.53089522128
0.85,466,384,3003,816,1564,811,100000,,1467,0,0.0004438009700220073,100.0,99.99810506162953,1.9200403420720809,49498.27287353763
0.9,466,384,3003,816,1649,813,100000,,1385,0,0.00047473929166867555,100.0,99.99882670769932,1.821082332342153,71584.30311707711
0.95,466,384,3003,816,1685,814,100000,,1348,0,0.000473599169732449,100.0,99.99893359132263,1.782176840206183,75017.34424602699
1.0,466,384,3003,816,1667,811,100000,,1366,0,0.0004641057594456293,100.0,99.9987804718089,1.8014177429924543,67192.06045890834
1.05,466,384,3003,816,1725,809,100000,,1312,0,0.0006882869306289158,100.0,99.99848467840309,1.7408431854448951,50191.86596406276
1.1,466,384,3003,816,1731,807,100000,,1306,0,0.0007103378239035818,100.0,99.99840975789438,1.734807767203679,47443.41632150523
1.15,466,384,3003,816,1698,807,100000,,1339,0,0.0007290996248281167,100.0,99.99842516208803,1.7685233849337476,50072.60550668871
1.2,466,384,3003,816,1664,807,100000,,1371,0,0.0005202201603695328,100.0,99.99833918832474,1.8046575275392982,49608.54971206308
1.25,466,384,3003,816,1690,811,100000,,1344,0,0.0005196735827454023,100.0,99.99841326957807,1.776894881944041,50119.01470569231
1.3,466,384,3003,816,1699,810,100000,,1334,0,0.0005199817149781017,100.0,99.9985558338753,1.7674847743915687,54367.457671763994
1.35,466,384,3003,816,1727,808,100000,,1308,0,0.0005213313024989695,100.0,99.99865313707016,1.738830083211475,56232.34013375397
1.4,466,384,3003,816,1732,809,100000,,1302,0,0.0005242552293497409,100.0,99.9986561245945,1.7338104176798919,55936.881959486054
1.45,466,384,3003,816,1674,804,100000,,1353,0,0.000741303078544907,100.0,99.99836131408784,1.7938774135376692,49321.866810460546
1.5,466,384,3003,816,1696,814,100000,,1337,0,0.00042339994945369815,100.0,99.9988208338497,1.7706159137031288,66853.69790590052
1.6,466,384,3003,816,1658,813,100000,,1374,0,0.000567358732160279,100.0,99.99861418562995,1.8111932352198234,59798.61530475872
1.7,466,384,3003,816,1581,811,100000,,1444,0,0.0006175763711977083,100.0,99.99836728538523,1.8993997277546606,55939.41910442355
1.8,466,384,3003,816,1557,810,100000,,1467,0,0.0006021667799368415,100.0,99.99823272023525,1.9286749701918204,53312.4352674179
1.9,466,384,3003,816,1561,804,100000,,1465,0,0.0006128773757729536,100.0,99.99816817027894,1.9237315760111962,51232.04184338307
2.0,466,384,3003,816,1562,802,100000,,1466,0,0.0007107127799005371,100.0,99.99813681993153,1.9224993909747399,50372.09564882217
2.1,466,384,3003,816,1559,795,100000,,1474,0,0.0006851346954607998,100.0,99.99816021439112,1.9261993272855453,51389.70927373678
2.2,466,384,3003,816,1535,791,100000,,1498,0,0.0007215320988705708,100.0,99.99797736833854,1.9563122217401994,48247.83698456685
2.3,466,384,3003,816,1517,785,100000,,1514,0,0.0010518821115311058,100.0,99.99797865168203,1.9795249168820115,49373.09568624421
2.4,466,384,3003,816,1492,784,100000,,1538,0,0.0016323732916398213,100.0,99.99737459504165,2.0126817420168233,39262.668125059914
2.5,466,384,3003,816,1433,771,100000,,1595,0,0.0006535581273862131,100.0,99.9982318018206,2.095566574325661,62947.122020406125
2.6,466,384,3003,816,1419,782,100000,,1608,0,0.0007197053709381128,100.0,99.99804624503116,2.116237722859962,57999.60933229797
2.7,466,384,3003,816,1395,778,100000,,1630,0,0.0007329409983439482,100.0,99.99808614590741,2.152646972732329,61051.48889311527
2.8,466,384,3003,816,1390,778,100000,,1634,0,0.0007451262649126282,100.0,99.99825280247052,2.1603939076677627,67280.25936379103
2.9,466,384,3003,816,1385,778,100000,,1638,0,0.0007569391914435772,100.0,99.99831918949845,2.168194603076273,70361.98313906236
3.0,466,384,3003,816,1383,777,100000,,1640,0,0.0007689843299359733,100.0,99.99834134796967,2.1713305789439836,71492.28528060437
