R_angstrom,method,orbital_index,occupation
0.7,ref,0,1.98388515
0.7,ref,1,1.97603144
0.7,ref,2,1.97568400
0.7,ref,3,0.99434098
0.7,ref,4,0.01520712
0.7,ref,5,0.01429643
0.7,ref,6,0.00991893
0.7,ref,7,0.00667342
0.7,ref,8,0.00512102
0.7,ref,9,0.00483866
0.7,ref,10,0.00424914
0.7,ref,11,0.00382138
0.7,ref,12,0.00382058
0.7,ref,13,0.00065785
0.7,ref,14,0.00056323
0.7,ref,15,0.00041871
0.7,ref,16,0.00040326
0.7,ref,17,0.00006870
0.7,ext,0,1.98388923
0.7,ext,1,1.97603782
0.7,ext,2,1.97568643
0.7,ext,3,0.99434367
0.7,ext,4,0.01520626
0.7,ext,5,0.01429247
0.7,ext,6,0.00991583
0.7,ext,7,0.00667027
0.7,ext,8,0.00511988
0.7,ext,9,0.00483747
0.7,ext,10,0.00424762
0.7,ext,11,0.00382117
0.7,ext,12,0.00381958
0.7,ext,13,0.00065797
0.7,ext,14,0.00056343
0.7,ext,15,0.00041880
0.7,ext,16,0.00040331
0.7,ext,17,0.00006882
0.7,cipsi,0,1.98393151
0.7,cipsi,1,1.97607996
0.7,cipsi,2,1.97572554
0.7,cipsi,3,0.99435199
0.7,cipsi,4,0.01518853
0.7,cipsi,5,0.01428031
0.7,cipsi,6,0.00990438
0.7,cipsi,7,0.00665760
0.7,cipsi,8,0.00510986
0.7,cipsi,9,0.00482596
0.7,cipsi,10,0.00422726
0.7,cipsi,11,0.00380290
0.7,cipsi,12,0.00380226
0.7,cipsi,13,0.00065787
0.7,cipsi,14,0.00056343
0.7,cipsi,15,0.00041825
0.7,cipsi,16,0.00040314
0.7,cipsi,17,0.00006925
0.75,ref,0,1.98335240
0.75,ref,1,1.97534768
0.75,ref,2,1.97451607
0.75,ref,3,0.99422493
0.75,ref,4,0.01616299
0.75,ref,5,0.01551986
0.75,ref,6,0.00995809
0.75,ref,7,0.00684464
0.75,ref,8,0.00511299
0.75,ref,9,0.00483707
0.75,ref,10,0.00422088
0.75,ref,11,0.00381302
0.75,ref,12,0.00381252
0.75,ref,13,0.00071783
0.75,ref,14,0.00059630
0.75,ref,15,0.00045236
0.75,ref,16,0.00044766
0.75,ref,17,0.00006270
0.75,ext,0,1.98335864
0.75,ext,1,1.97535367
0.75,ext,2,1.97452609
0.75,ext,3,0.99423217
0.75,ext,4,0.01615484
0.75,ext,5,0.01551769
0.75,ext,6,0.00995180
0.75,ext,7,0.00683875
0.75,ext,8,0.00511036
0.75,ext,9,0.00483528
0.75,ext,10,0.00421893
0.75,ext,11,0.00381236
0.75,ext,12,0.00381174
0.75,ext,13,0.00071802
0.75,ext,14,0.00059648
0.75,ext,15,0.00045247
