R_angstrom,state,E_FCI_Ha,E_ExtSQD_Ha,E_CIPSI_EN_SQD_Ha,err_ExtSQD_mHa,err_CIPSI_EN_SQD_mHa,S2_FCI,S2_ExtSQD,S2_CIPSI_EN_SQD
0.7,D0,-75.4162725259,-75.4162607678,-75.4161400688,0.0118,0.1325,0.750000,0.750003,0.750029
0.7,D1,-75.4162591289,-75.4162463170,-75.4161373008,0.0128,0.1218,0.750000,0.750004,0.750024
0.7,D2,-75.2434675327,-75.2434542688,-75.2433450817,0.0133,0.1225,0.750000,0.750003,0.750026
0.7,Q1,-75.0538385211,-75.0531550621,-75.0536660174,0.6835,0.1725,3.750000,3.748911,3.749986
0.75,D0,-75.4760510139,-75.4760300458,-75.4759127845,0.0210,0.1382,0.750000,0.750005,0.750032
0.75,D1,-75.4760376966,-75.4760137476,-75.4758803613,0.0239,0.1573,0.750000,0.750008,0.750035
0.75,D2,-75.3056597330,-75.3056357833,-75.3055212525,0.0239,0.1385,0.750000,0.750007,0.750032
0.75,Q1,-75.1243845731,-75.1234442229,-75.1241744305,0.9404,0.2101,3.750000,3.747931,3.749979
0.8,D0,-75.5151417537,-75.5151211856,-75.5150102759,0.0206,0.1315,0.750000,0.750005,0.750028
0.8,D1,-75.5151284802,-75.5151070445,-75.5149866160,0.0214,0.1419,0.750000,0.750007,0.750029
0.8,D2,-75.3471703922,-75.3471470961,-75.3470336018,0.0233,0.1368,0.750000,0.750007,0.750030
0.8,Q1,-75.1758438734,-75.1748475279,-75.1756308635,0.9963,0.2130,3.750000,3.747784,3.749977
0.85,D0,-75.5393932654,-75.5393727939,-75.5392210783,0.0205,0.1722,0.750000,0.750005,0.750033
0.85,D1,-75.5393800061,-75.5393586014,-75.5391992876,0.0214,0.1807,0.750000,0.750007,0.750033
0.85,D2,-75.3738251447,-75.3738019124,-75.3736601280,0.0232,0.1650,0.750000,0.750007,0.750034
0.85,Q1,-75.2142140699,-75.2132121531,-75.2139730743,1.0019,0.2410,3.750000,3.747903,3.749978
0.9,D0,-75.5529869509,-75.5529667349,-75.5528785465,0.0202,0.1084,0.750000,0.750005,0.750024
0.9,D1,-75.5529736813,-75.5529511750,-75.5528695048,0.0225,0.1042,0.750000,0.750007,0.750021
0.9,D2,-75.3898030393,-75.3897790747,-75.3896896288,0.0240,0.1134,0.750000,0.750007,0.750025
0.9,Q1,-75.2436988103,-75.2426864948,-75.2434777228,1.0123,0.2211,3.750000,3.748004,3.749967
0.95,D0,-75.5589418881,-75.5589213653,-75.5588461200,0.0205,0.0958,0.750000,0.750005,0.750023
0.95,D1,-75.5589285879,-75.5589056896,-75.5588363136,0.0229,0.0923,0.750000,0.750007,0.750021
0.95,D2,-75.3981341562,-75.3981096529,-75.3980319271,0.0245,0.1022,0.750000,0.750007,0.750026
0.95,Q1,-75.2671862365,-75.2661740275,-75.2669848599,1.0122,0.2014,3.750000,3.748131,3.749974
1.0,D0,-75.5594563414,-75.5594350057,-75.5593520120,0.0213,0.1043,0.750000,0.750005,0.750025
1.0,D1,-75.5594429940,-75.5594191619,-75.5593318745,0.0238,0.1111,0.750000,0.750007,0.750024
1.0,D2,-75.4010366080,-75.4010109898,-75.4009223750,0.0256,0.1142,0.750000,0.750008,0.750030
1.0,Q1,-75.2865872953,-75.2855843502,-75.2863688987,1.0029,0.2184,3.750000,3.748263,3.749971
1.05,D0,-75.5561413881,-75.5561195624,-75.5560132145,0.0218,0.1282,0.750000,0.750007,0.750030
1.05,D1,-75.5561279800,-75.5561063419,-75.5560062419,0.0216,0.1217,0.750000,0.750006,0.750026
1.05,D2,-75.4001473958,-75.4001258135,-75.4000293766,0.0216,0.1180,0.750000,0.750006,0.750031
1.05,Q1,-75.3031017651,-75.3022152327,-75.3028911292,0.8865,0.2106,3.750000,3.748752,3.749982
1.1,D0,-75.5501838500,-75.5501599235,-75.5500544890,0.0239,0.1294,0.750000,0.750007,0.750031
1.1,D1,-75.5501703707,-75.5501472562,-75.5500423750,0.0231,0.1280,0.750000,0.750006,0.750029
1.1,D2,-75.3966831055,-75.3966598905,-75.3965676026,0.0232,0.1155,0.750000,0.750007,0.750032
1.1,Q1,-75.3174421331,-75.3165694877,-75.3172365270,0.8726,0.2056,3.750000,3.748827,3.749985
1.15,D0,-75.5424622581,-75.5424353132,-75.5423322778,0.0269,0.1300,0.750000,0.750008,0.750031
1.15,D1,-75.5424486994,-75.5424232967,-75.5423221209,0.0254,0.1266,0.750000,0.750006,0.750028
1.15,D2,-75.3915536258,-75.3915275053,-75.3914361016,0.0261,0.1175,0.750000,0.750008,0.750033
1.15,Q1,-75.3300167471,-75.3291560839,-75.3298236607,0.8607,0.1931,3.750000,3.748870,3.749983
1.2,D0,-75.5336303957,-75.5335992593,-75.5334894264,0.0311,0.1410,0.750000,0.750010,0.750031
1.2,D1,-75.5336167520,-75.5335880349,-75.5334823932,0.0287,0.1344,0.750000,0.750007,0.750028
1.2,D2,-75.3854434275,-75.3854125421,-75.3853132362,0.0309,0.1302,0.750000,0.750010,0.750032
1.2,Q1,-75.3410652506,-75.3402144792,-75.3408701853,0.8508,0.1951,3.750000,3.748887,3.749983
1.25,D0,-75.5241774865,-75.5241406216,-75.5240448089,0.0369,0.1327,0.750000,0.750011,0.750031
1.25,D1,-75.5241637542,-75.5241304076,-75.5240401116,0.0333,0.1236,0.750000,0.750008,0.750027
1.25,D2,-75.3788695446,-75.3788312190,-75.3787500349,0.0383,0.1195,0.750000,0.750013,0.750031
1.25,Q1,-75.3507462046,-75.3499057104,-75.3505641151,0.8405,0.1821,3.750000,3.748883,3.749985
1.3,D0,-75.5144711799,-75.5144270552,-75.5143517087,0.0441,0.1195,0.750000,0.750014,0.750028
1.3,D1,-75.5144573571,-75.5144181176,-75.5143429234,0.0392,0.1144,0.750000,0.750010,0.750025
1.3,D2,-75.3722223149,-75.3721733350,-75.3721184147,0.0490,0.1039,0.750000,0.750018,0.750027
1.3,Q1,-75.3591858972,-75.3583605557,-75.3590079595,0.8253,0.1779,3.750000,3.748870,3.749987
1.35,D0,-75.5047879592,-75.5047357383,-75.5046766279,0.0522,0.1113,0.750000,0.750016,0.750028
1.35,D1,-75.5047740458,-75.5047282967,-75.5046696211,0.0457,0.1044,0.750000,0.750012,0.750024
1.35,D2,-75.3657932707,-75.3657306395,-75.3656922063,0.0626,0.1011,0.750000,0.750024,0.750028
1.35,Q1,-75.3665010264,-75.3656963365,-75.3663332722,0.8047,0.1678,3.750000,3.748851,3.749987
1.4,D0,-75.4953346108,-75.4952739281,-75.4952235466,0.0607,0.1111,0.750000,0.750019,0.750028
1.4,D1,-75.4953206080,-75.4952681780,-75.4952173549,0.0524,0.1033,0.750000,0.750014,0.750024
1.4,D2,-75.3597936676,-75.3597145845,-75.3596932037,0.0791,0.1005,0.750000,0.750031,0.750029
1.4,Q1,-75.3728064636,-75.3720236708,-75.3726380084,0.7828,0.1685,3.750000,3.748817,3.749986
1.45,D0,-75.4862635520,-75.4861860128,-75.4861271668,0.0775,0.1364,0.750000,0.750025,0.750037
1.45,D1,-75.4862494622,-75.4861808476,-75.4861235206,0.0686,0.1259,0.750000,0.750020,0.750034
1.45,D2,-75.3543666582,-75.3542614652,-75.3542437490,0.1052,0.1229,0.750000,0.750041,0.750038
1.45,Q1,-75.3782158048,-75.3774474900,-75.3780296261,0.7683,0.1862,3.750000,3.748757,3.749982
1.5,D0,-75.4776840488,-75.4775794020,-75.4775863167,0.1046,0.0977,0.750000,0.750035,0.750024
1.5,D1,-75.4776698754,-75.4775748980,-75.4775656563,0.0950,0.1042,0.750000,0.750026,0.750024
1.5,D2,-75.3584728620,-75.3580011918,-75.3583180580,0.4717,0.1548,0.750000,0.751298,0.750050
1.5,Q1,-75.3828391807,-75.3820743687,-75.3826561487,0.7648,0.1830,3.750000,3.748669,3.749973
1.6,D0,-75.4622700877,-75.4621355779,-75.4621605485,0.1345,0.1095,0.750000,0.750049,0.750027
1.6,D1,-75.4622557602,-75.4621392912,-75.4621419296,0.1165,0.1138,0.750000,0.750031,0.750027
1.6,D2,-75.3697823841,-75.3692958185,-75.3696147701,0.4866,0.1676,0.750000,0.751642,0.750060
1.6,Q1,-75.3901356748,-75.3893782103,-75.3899413298,0.7575,0.1943,3.750000,3.748303,3.749967
1.7,D0,-75.4493839827,-75.4492310936,-75.4492697976,0.1529,0.1142,0.750000,0.750063,0.750029
1.7,D1,-75.4493695220,-75.4492482660,-75.4492404848,0.1213,0.1290,0.750000,0.750032,0.750032
1.7,D2,-75.3787852163,-75.3783551734,-75.3786254389,0.4300,0.1598,0.750000,0.751537,0.750053
1.7,Q1,-75.3954207570,-75.3947810534,-75.3952386604,0.6397,0.1821,3.750000,3.748376,3.749971
1.8,D0,-75.4390159083,-75.4388360200,-75.4388914907,0.1799,0.1244,0.750000,0.750085,0.750033
1.8,D1,-75.4390013368,-75.4388625487,-75.4388632134,0.1388,0.1381,0.750000,0.750035,0.750035
1.8,D2,-75.3859009986,-75.3854849045,-75.3857344973,0.4161,0.1665,0.750000,0.751793,0.750066
1.8,Q1,-75.3992615036,-75.3986652844,-75.3990709977,0.5962,0.1905,3.750000,3.748133,3.749959
1.9,D0,-75.4309612493,-75.4307457734,-75.4308344634,0.2155,0.1268,0.750000,0.750131,0.750033
1.9,D1,-75.4309465891,-75.4307871066,-75.4308032830,0.1595,0.1433,0.750000,0.750041,0.750037
1.9,D2,-75.3914963999,-75.3910727561,-75.3913324655,0.4236,0.1639,0.750000,0.752516,0.750074
1.9,Q1,-75.4020764558,-75.4014851472,-75.4018920692,0.5913,0.1844,3.750000,3.747405,3.749952
2.0,D0,-75.4248991591,-75.4247325734,-75.4247480867,0.1666,0.1511,0.750000,0.750049,0.750041
2.0,D1,-75.4248844307,-75.4246475857,-75.4247330044,0.2368,0.1514,0.750000,0.750235,0.750043
2.0,D2,-75.3958783561,-75.3954384929,-75.3957155554,0.4399,0.1628,0.750000,0.754607,0.750065
2.0,Q1,-75.4041630658,-75.4035487568,-75.4039886692,0.6143,0.1744,3.750000,3.745306,3.749965
2.1,D0,-75.4204581874,-75.4202709112,-75.4203117611,0.1873,0.1464,0.750000,0.750064,0.750041
2.1,D1,-75.4204434085,-75.4201616450,-75.4202971041,0.2818,0.1463,0.750000,0.750490,0.750043
2.1,D2,-75.3992963585,-75.3988363724,-75.3991439144,0.4600,0.1524,0.750000,0.757844,0.750047
2.1,Q1,-75.4057263244,-75.4050953874,-75.4055714385,0.6309,0.1549,3.750000,3.742050,3.749981
2.2,D0,-75.4172712066,-75.4170651056,-75.4171143449,0.2061,0.1569,0.750000,0.750088,0.750045
2.2,D1,-75.4172563916,-75.4169300109,-75.4170999484,0.3264,0.1564,0.750000,0.751092,0.750046
2.2,D2,-75.4019478570,-75.4014643340,-75.4017949702,0.4835,0.1529,0.750000,0.764012,0.750067
2.2,Q1,-75.4069031986,-75.4062532530,-75.4067431743,0.6499,0.1600,3.750000,3.735861,3.749960
2.3,D0,-75.4150139130,-75.4147912007,-75.4148581047,0.2227,0.1558,0.750000,0.750135,0.750043
2.3,D1,-75.4149990736,-75.4146311111,-75.4148501682,0.3680,0.1489,0.750000,0.752488,0.750043
2.3,D2,-75.4039868394,-75.4034763548,-75.4038366042,0.5105,0.1502,0.750000,0.775863,0.750082
2.3,Q1,-75.4077838206,-75.4071155542,-75.4076258973,0.6683,0.1579,3.750000,3.723986,3.749944
2.4,D0,-75.4134236040,-75.4131865438,-75.4132362329,0.2371,0.1874,0.750000,0.750225,0.750111
2.4,D1,-75.4134087492,-75.4130045038,-75.4132293908,0.4042,0.1794,0.750000,0.755610,0.750101
2.4,D2,-75.4055347803,-75.4049930982,-75.4053593152,0.5417,0.1755,0.750000,0.798750,0.750142
