R_angstrom,n_configs,cumulative_weight
0.7,1,96.5257439528
0.7,31,99.2096035696
0.7,61,99.7425621558
0.7,91,99.8905645715
0.7,121,99.9482596463
0.7,151,99.9657583973
0.7,181,99.9738790052
0.7,211,99.9795666816
0.7,241,99.9832362330
0.7,271,99.9860235724
0.7,301,99.9881101543
0.7,331,99.9897978504
0.7,361,99.9911561416
0.7,391,99.9922889990
0.7,421,99.9932379808
0.7,451,99.9940570359
0.7,481,99.9947713298
0.7,511,99.9953776363
0.7,541,99.9958988180
0.7,571,99.9963502411
0.7,601,99.9967442487
0.7,631,99.9970957863
0.7,661,99.9974092516
0.7,691,99.9976826252
0.7,721,99.9979306342
0.7,751,99.9981539109
0.7,781,99.9983517288
0.7,811,99.9985302486
0.7,841,99.9986907998
0.7,871,99.9988346352
0.7,901,99.9989631309
0.7,931,99.9990741796
0.7,961,99.9991711491
0.7,991,99.9992574753
0.7,1021,99.9993348618
0.7,1051,99.9994048915
0.7,1081,99.9994678679
0.7,1111,99.9995245192
0.7,1141,99.9995752975
0.7,1171,99.9996212399
0.7,1201,99.9996629087
0.7,1231,99.9996995344
0.7,1261,99.9997325761
0.7,1291,99.9997615843
0.7,1321,99.9997873324
0.7,1351,99.9998102762
0.7,1381,99.9998304502
0.7,1411,99.9998481712
0.7,1441,99.9998641817
0.7,1471,99.9998786429
0.7,1501,99.9998915996
0.7,1531,99.9999031890
0.7,1561,99.9999136157
0.7,1591,99.9999229748
0.7,1621,99.9999313800
0.7,1651,99.9999388971
0.7,1681,99.9999455208
0.7,1711,99.9999514217
0.7,1741,99.9999567052
0.7,1771,99.9999614245
0.7,1801,99.9999656421
0.7,1831,99.9999694721
0.7,1861,99.9999728783
0.7,1891,99.9999758816
0.7,1921,99.9999785832
0.7,1951,99.9999809981
0.7,1981,99.9999832135
0.7,2011,99.9999852583
0.7,2041,99.9999870639
0.7,2071,99.9999886318
0.7,2101,99.9999900374
0.7,2131,99.9999912225
0.7,2161,99.9999922421
0.7,2191,99.9999931345
0.7,2221,99.9999939267
0.7,2251,99.9999946466
0.7,2281,99.9999952976
0.7,2311,99.9999958812
0.7,2341,99.9999964089
0.7,2371,99.9999968692
0.7,2401,99.9999972851
0.7,2431,99.9999976635
0.7,2461,99.9999979959
0.7,2491,99.9999982858
0.7,2521,99.9999985410
0.7,2551,99.9999987656
0.7,2581,99.9999989677
0.7,2611,99.9999991464
0.7,2641,99.9999993010
0.7,2671,99.9999994351
0.7,2701,99.9999995502
0.7,2731,99.9999996488
0.7,2761,99.9999997301
0.7,2791,99.9999997984
0.7,2821,99.9999998571
0.7,2851,99.9999999044
0.7,2881,99.9999999388
0.7,2911,99.9999999643
0.7,2941,99.9999999826
0.7,2971,99.9999999951
0.7,3001,100.0000000000
0.7,3031,100.0000000000
0.7,3060,100.0000000000
0.75,1,96.4063022393
0.75,31,99.1927672477
0.75,61,99.7471777941
0.75,91,99.8869293376
0.75,121,99.9456892458
0.75,151,99.9647941191
0.75,181,99.9737295236
0.75,211,99.9787656615
0.75,241,99.9825160654
0.75,271,99.9855433317
0.75,301,99.9877888533
0.75,331,99.9894749013
0.75,361,99.9908617365
0.75,391,99.9920276492
0.75,421,99.9930408105
0.75,451,99.9938882668
0.75,481,99.9946365200
0.75,511,99.9952769172
0.75,541,99.9958182403
0.75,571,99.9962925843
0.75,601,99.9967131643
0.75,631,99.9970880053
0.75,661,99.9974135179
0.75,691,99.9976975429
0.75,721,99.9979514894
0.75,751,99.9981768148
0.75,781,99.9983785402
0.75,811,99.9985563407
0.75,841,99.9987130996
0.75,871,99.9988522777
0.75,901,99.9989731345
0.75,931,99.9990812797
0.75,961,99.9991749014
0.75,991,99.9992582545
0.75,1021,99.9993329672
0.75,1051,99.9993992446
0.75,1081,99.9994600293
0.75,1111,99.9995145094
0.75,1141,99.9995640188
0.75,1171,99.9996084643
0.75,1201,99.9996487531
0.75,1231,99.9996860952
0.75,1261,99.9997201915
0.75,1291,99.9997505783
0.75,1321,99.9997768265
0.75,1351,99.9998001303
0.75,1381,99.9998211010
0.75,1411,99.9998394019
0.75,1441,99.9998562712
0.75,1471,99.9998718656
0.75,1501,99.9998858973
0.75,1531,99.9998985184
0.75,1561,99.9999095607
0.75,1591,99.9999193432
0.75,1621,99.9999281415
0.75,1651,99.9999360161
0.75,1681,99.9999431442
0.75,1711,99.9999493555
0.75,1741,99.9999547821
0.75,1771,99.9999596283
0.75,1801,99.9999639345
0.75,1831,99.9999678431
0.75,1861,99.9999713354
0.75,1891,99.9999744745
0.75,1921,99.9999772960
0.75,1951,99.9999798196
0.75,1981,99.9999820962
0.75,2011,99.9999841131
0.75,2041,99.9999859487
0.75,2071,99.9999876123
0.75,2101,99.9999891014
0.75,2131,99.9999904181
0.75,2161,99.9999915622
0.75,2191,99.9999925789
0.75,2221,99.9999934869
0.75,2251,99.9999943033
0.75,2281,99.9999950184
0.75,2311,99.9999956683
0.75,2341,99.9999962425
0.75,2371,99.9999967400
0.75,2401,99.9999971789
0.75,2431,99.9999975669
0.75,2461,99.9999979000
0.75,2491,99.9999981982
0.75,2521,99.9999984650
0.75,2551,99.9999986982
0.75,2581,99.9999989051
0.75,2611,99.9999990876
0.75,2641,99.9999992442
0.75,2671,99.9999993825
0.75,2701,99.9999995056
0.75,2731,99.9999996133
0.75,2761,99.9999997033
0.75,2791,99.9999997792
0.75,2821,99.9999998417
0.75,2851,99.9999998919
0.75,2881,99.9999999295
0.75,2911,99.9999999575
0.75,2941,99.9999999792
0.75,2971,99.9999999940
0.75,3001,99.9999999999
0.75,3031,100.0000000000
0.75,3060,100.0000000000
0.8,1,96.2732945848
0.8,31,99.1656041384
0.8,61,99.7354193646
0.8,91,99.8839157447
0.8,121,99.9426608368
0.8,151,99.9636269502
0.8,181,99.9727670915
