R_angstrom,method,root_index,E_root_Ha,overlap_sq_D0,overlap_sq_D1,overlap_sq_D2,overlap_sq_Q1
0.7,ExtSQD,0,-75.4162607678,9.999985e-01,8.805280e-23,5.952014e-35,8.718076e-37
0.7,ExtSQD,1,-75.4162463170,8.805272e-23,9.999984e-01,1.025642e-27,7.273396e-29
0.7,ExtSQD,2,-75.2434542688,1.251876e-35,1.017682e-27,9.999983e-01,6.555105e-28
0.7,ExtSQD,3,-75.0531550621,5.360950e-37,6.942884e-29,7.076173e-28,9.995490e-01
0.7,ExtSQD,4,-75.0264989647,3.697878e-37,3.637599e-30,1.368125e-27,3.228553e-04
0.7,ExtSQD,5,-74.9582461686,5.590433e-35,7.302908e-29,7.936099e-11,7.820948e-26
0.7,ExtSQD,6,-74.9582080582,2.603411e-37,3.298800e-30,2.824513e-29,1.962418e-06
0.7,ExtSQD,7,-74.9057621451,3.039687e-35,1.480099e-29,1.035854e-09,5.059723e-28
0.7,ExtSQD,8,-74.8767249065,3.517595e-32,2.855410e-11,1.815503e-33,2.060348e-29
0.7,ExtSQD,9,-74.8766160495,4.061691e-12,1.077687e-27,4.076528e-29,6.471062e-28
0.7,CIPSI_EN_SQD,0,-75.4161400688,9.999849e-01,1.342550e-21,3.773261e-34,2.146576e-36
0.7,CIPSI_EN_SQD,1,-75.4161373008,1.342546e-21,9.999866e-01,7.957857e-30,5.653415e-29
0.7,CIPSI_EN_SQD,2,-75.2433450817,5.067878e-34,6.258693e-30,9.999862e-01,5.505898e-28
0.7,CIPSI_EN_SQD,3,-75.0536660174,1.531217e-36,5.892337e-29,5.632997e-28,9.999779e-01
0.7,CIPSI_EN_SQD,4,-75.0267169611,5.033233e-36,1.956183e-28,3.881360e-28,7.283241e-07
0.7,CIPSI_EN_SQD,5,-74.9590882867,1.250492e-34,4.215133e-29,9.749847e-13,1.548323e-28
0.7,CIPSI_EN_SQD,6,-74.9590632451,1.243656e-37,5.116796e-29,2.439431e-30,1.652541e-08
0.7,CIPSI_EN_SQD,7,-74.9065896599,2.787692e-34,8.605049e-31,2.698211e-11,2.047555e-27
0.7,CIPSI_EN_SQD,8,-74.8769724054,4.247431e-13,9.203924e-28,4.609084e-30,2.551459e-30
0.7,CIPSI_EN_SQD,9,-74.8769587685,2.635971e-32,2.183164e-11,1.426037e-29,1.631641e-27
0.75,ExtSQD,0,-75.4760300458,9.999972e-01,1.069944e-23,7.659483e-35,5.223218e-38
0.75,ExtSQD,1,-75.4760137476,1.069939e-23,9.999968e-01,3.201929e-27,2.269886e-28
0.75,ExtSQD,2,-75.3056357833,1.606507e-36,3.235602e-27,9.999968e-01,3.516700e-28
0.75,ExtSQD,3,-75.1234442229,1.138501e-36,2.198049e-28,3.456182e-28,9.991610e-01
0.75,ExtSQD,4,-75.0962259202,6.514658e-37,2.076162e-31,9.816579e-30,5.798225e-04
0.75,ExtSQD,5,-75.0285733538,1.314366e-32,6.062573e-32,1.391066e-09,5.876040e-26
0.75,ExtSQD,6,-75.0285414182,3.615396e-37,1.265558e-30,3.044114e-29,2.984479e-05
0.75,ExtSQD,7,-74.9769799287,2.559711e-32,1.255049e-32,2.699527e-09,2.431239e-28
0.75,ExtSQD,8,-74.9538840747,1.085535e-11,1.431670e-28,9.665802e-34,4.540096e-35
0.75,ExtSQD,9,-74.9533810079,8.947117e-33,2.803133e-11,5.257752e-33,1.051313e-31
0.75,CIPSI_EN_SQD,0,-75.4759127845,9.999843e-01,9.776475e-23,1.458775e-35,1.942980e-39
0.75,CIPSI_EN_SQD,1,-75.4758803613,9.776422e-23,9.999819e-01,7.594198e-28,1.364012e-28
0.75,CIPSI_EN_SQD,2,-75.3055212525,9.650219e-36,7.089455e-28,9.999843e-01,7.177083e-29
0.75,CIPSI_EN_SQD,3,-75.1241744305,1.170710e-38,1.331204e-28,6.910549e-29,9.999705e-01
0.75,CIPSI_EN_SQD,4,-75.0965660793,6.157228e-38,1.364454e-29,1.485635e-29,1.179429e-06
0.75,CIPSI_EN_SQD,5,-75.0297950952,2.966827e-34,1.277813e-29,8.354381e-11,4.511236e-27
0.75,CIPSI_EN_SQD,6,-75.0297623817,2.030890e-37,8.009576e-29,4.638905e-29,5.729677e-09
0.75,CIPSI_EN_SQD,7,-74.9781618986,1.344988e-33,1.975329e-28,1.992421e-10,8.401310e-28
0.75,CIPSI_EN_SQD,8,-74.9540617297,4.986800e-12,5.009393e-28,8.696956e-30,8.869097e-30
0.75,CIPSI_EN_SQD,9,-74.9540438537,1.374886e-31,1.077498e-10,5.535366e-30,3.296436e-29
0.8,ExtSQD,0,-75.5151211856,9.999972e-01,2.598953e-24,1.495254e-36,1.229916e-36
0.8,ExtSQD,1,-75.5151070445,2.598949e-24,9.999970e-01,3.895950e-28,1.827189e-28
0.8,ExtSQD,2,-75.3471470961,2.104001e-35,3.910265e-28,9.999968e-01,3.311269e-28
0.8,ExtSQD,3,-75.1748475279,1.544425e-36,1.852999e-28,3.000808e-28,9.991027e-01
0.8,ExtSQD,4,-75.1466755155,1.234056e-36,4.841773e-29,5.258283e-28,6.149429e-04
0.8,ExtSQD,5,-75.0800301200,8.155263e-35,3.923542e-29,9.387381e-10,1.612142e-27
0.8,ExtSQD,6,-75.0799848496,1.292341e-36,1.216182e-28,2.708220e-29,3.794828e-05
0.8,ExtSQD,7,-75.0293492791,2.391659e-33,3.684810e-28,1.782965e-09,5.547297e-28
0.8,ExtSQD,8,-75.0130609893,5.863481e-11,8.344052e-33,1.095880e-30,2.212403e-28
0.8,ExtSQD,9,-75.0125203130,2.576840e-34,3.941634e-12,3.356223e-30,1.367780e-27
0.8,CIPSI_EN_SQD,0,-75.5150102759,9.999852e-01,1.402762e-23,1.014347e-35,5.100862e-38
0.8,CIPSI_EN_SQD,1,-75.5149866160,1.402757e-23,9.999841e-01,1.002058e-27,2.184008e-29
0.8,CIPSI_EN_SQD,2,-75.3470336018,3.791167e-35,1.021347e-27,9.999843e-01,1.690387e-27
0.8,CIPSI_EN_SQD,3,-75.1756308635,1.139360e-36,2.227168e-29,1.688053e-27,9.999697e-01
0.8,CIPSI_EN_SQD,4,-75.1470473541,3.353103e-37,3.221205e-30,7.106828e-28,1.606356e-06
